Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,536,0.271161,0.113025,4,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,584,0.271161,0.113025,4,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.480998,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
36,30,666,0.191951,0.0572688,6,4,0,0.057269,10000000.000000,10000000.000000,10000000.000000,0.480998,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
38,40,679,0.191951,0.0572688,6,4,0,0.057269,10000000.000000,10000000.000000,10000000.000000,0.480998,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
40,50,684,0.18338,0.0513161,5,5,0,0.057269,10000000.000000,0.051316,10000000.000000,0.480998,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
42,60,709,0.18338,0.0513161,5,5,0,0.057269,10000000.000000,0.051316,10000000.000000,0.480998,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
44,70,729,0.122604,0.0240865,6,5,0,0.057269,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
46,80,747,0.122604,0.0240865,6,5,0,0.057269,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,10000000.000000,10000000.000000,0.041362,10000000.000000,10000000.000000,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
48,90,757,0.122604,0.0240865,6,5,0,0.057269,10000000.000000,0.051316,10000000.000000,0.024087,0.480998,10000000.000000,10000000.000000,0.041362,10000000.000000,10000000.000000,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
50,100,761,0.122604,0.0240865,6,5,0,0.057269,10000000.000000,0.051316,10000000.000000,0.024087,0.480998,0.025379,10000000.000000,0.041362,10000000.000000,10000000.000000,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
52,110,778,0.122604,0.0240865,6,5,0,0.057269,10000000.000000,0.051316,10000000.000000,0.024087,0.480998,0.025379,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
54,120,779,0.122604,0.0240865,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,0.480998,0.025379,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
56,130,782,0.122604,0.0240865,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,0.025379,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
58,140,783,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,0.025379,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,0.023956,10000000.000000
60,150,789,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,0.025379,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,10000000.000000,10000000.000000,0.023956,10000000.000000
62,160,799,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,0.025379,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,0.101091,10000000.000000,0.023956,10000000.000000
64,170,800,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,0.101091,10000000.000000,0.023956,10000000.000000
66,180,801,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,0.101091,10000000.000000,0.023956,10000000.000000
68,190,802,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.063835,10000000.000000,0.113025,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
70,200,805,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.051316,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.043268,10000000.000000,0.113025,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
72,210,806,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.046100,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.043268,10000000.000000,0.113025,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
74,220,810,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.046100,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.043268,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
76,230,814,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.046100,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.043268,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
78,240,818,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.043268,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
80,250,819,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.043268,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
82,260,824,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.043268,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
84,270,829,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
86,280,1079,0.122603,0.0239564,6,5,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023956,10000000.000000
88,290,1088,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.041362,10000000.000000,0.043243,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
90,300,1098,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.043243,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
92,310,1125,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
94,320,1175,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
96,330,1188,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
98,340,1215,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
100,350,1255,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
102,360,1268,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
104,370,1287,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
106,380,1296,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
108,390,1299,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
110,400,1343,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
112,410,1361,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.034596,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
114,420,1418,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.033817,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
116,430,1419,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.033817,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
118,440,1455,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.033817,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
120,450,1466,0.121709,0.0238229,7,9,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.033817,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023823,10000000.000000
122,460,1543,0.121483,0.0234882,6,5,0,0.036314,10000000.000000,0.045441,10000000.000000,0.024087,10000000.000000,0.025356,10000000.000000,0.037631,10000000.000000,0.041986,10000000.000000,0.033817,10000000.000000,0.059839,10000000.000000,0.099741,10000000.000000,0.023488,10000000.000000
