Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,998,0.159511,0.0422437,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,1036,0.159511,0.0422437,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.047171,10000000.000000,10000000.000000,10000000.000000
36,30,1067,0.159511,0.0422437,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.046246,10000000.000000,10000000.000000,10000000.000000
38,40,1069,0.159511,0.0422437,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.046246,10000000.000000,10000000.000000,10000000.000000
40,50,1083,0.128814,0.0279836,5,5,0,10000000.000000,10000000.000000,0.027984,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.046246,10000000.000000,10000000.000000,10000000.000000
42,60,1162,0.128814,0.0279836,5,5,0,0.028136,0.028136,0.027984,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.046246,10000000.000000,10000000.000000,10000000.000000
44,70,1164,0.128814,0.0279836,5,5,0,0.028079,0.028079,0.027984,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.046246,10000000.000000,10000000.000000,10000000.000000
46,80,1174,0.128814,0.0279836,5,5,0,0.028079,0.028079,0.027984,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.046246,10000000.000000,10000000.000000,10000000.000000
48,90,1175,0.128814,0.0279836,5,5,0,0.028079,0.028079,0.027984,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.046246,10000000.000000,10000000.000000,10000000.000000
50,100,1198,0.12681,0.0274361,6,5,0,0.028079,0.028079,0.027984,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042244,10000000.000000,10000000.000000,10000000.000000,0.046246,10000000.000000,0.027436,10000000.000000
