arm,universe,cell,base,armv,delta
k_isl20,mid_highmid,set1/2022,-0.0010599873505472495,-0.004843129592497513,-0.0037831422419502634
k_isl20,mid_highmid,set1/2023,0.014675120997158514,0.017274544871933757,0.0025994238747752436
k_isl20,mid_highmid,set1/2024,0.004125939650733129,-0.005202036093361276,-0.009327975744094406
k_isl20,mid_highmid,set2/2022,0.013128573806847272,0.005720315919541653,-0.007408257887305619
k_isl20,mid_highmid,set2/2023,0.01006011508318539,0.011674776349327787,0.0016146612661423962
k_isl20,mid_highmid,set2/2024,0.007266800889097675,0.015350993192490123,0.008084192303392447
k_isl20,mid_highmid,set3/2022,0.003124505914638802,0.006870564299768188,0.003746058385129386
k_isl20,mid_highmid,set3/2023,-0.017321555471575146,-0.01243065814099271,0.004890897330582436
k_isl20,mid_highmid,set3/2024,-0.00931034200526845,-0.007327591353698719,0.0019827506515697306
k_isl20,mid_highmid,set4/2022,0.017247671295128848,0.029257505473442837,0.012009834178313989
k_isl20,mid_highmid,set4/2023,0.01814922189690839,0.015231215887089648,-0.002918006009818744
k_isl20,mid_highmid,set4/2024,0.007540391378912173,0.018432286060030764,0.010891894681118591
k_isl20,original,orig/2022,0.003334662452903511,0.0037941041258663685,0.0004594416729628574
k_isl20,original,orig/2023,0.0012613544448800329,0.004283433873067677,0.0030220794281876438
k_ext250,mid_highmid,set1/2022,-0.0010599873505472495,-0.000589376710862969,0.0004706106396842805
k_ext250,mid_highmid,set1/2023,0.014675120997158514,0.008731422535802811,-0.005943698461355703
k_ext250,mid_highmid,set1/2024,0.004125939650733129,0.0031470275568253746,-0.0009789120939077546
k_ext250,mid_highmid,set2/2022,0.013128573806847272,0.01071974009431619,-0.002408833712531082
k_ext250,mid_highmid,set2/2023,0.01006011508318539,0.01328473537256143,0.0032246202893760397
k_ext250,mid_highmid,set2/2024,0.007266800889097675,0.01858776307120171,0.011320962182104037
k_ext250,mid_highmid,set3/2022,0.003124505914638802,0.006179483678365154,0.0030549777637263525
k_ext250,mid_highmid,set3/2023,-0.017321555471575146,-0.011370863432697637,0.005950692038877509
k_ext250,mid_highmid,set3/2024,-0.00931034200526845,-0.004593964713185285,0.004716377292083165
k_ext250,mid_highmid,set4/2022,0.017247671295128848,0.020031821972723435,0.002784150677594587
k_ext250,mid_highmid,set4/2023,0.01814922189690839,0.011387137847058226,-0.0067620840498501655
k_ext250,mid_highmid,set4/2024,0.007540391378912173,0.025403726529084538,0.017863335150172365
k_ext250,original,orig/2022,0.003334662452903511,0.0016672322136874352,-0.001667430239216076
k_ext250,original,orig/2023,0.0012613544448800329,0.007109983866914822,0.005848629422034789
k_seq20,mid_highmid,set1/2022,-0.0010599873505472495,-0.002055485006060466,-0.0009954976555132165
k_seq20,mid_highmid,set1/2023,0.014675120997158514,-0.0003185565039027419,-0.014993677501061255
k_seq20,mid_highmid,set1/2024,0.004125939650733129,-0.015930650106697784,-0.020056589757430913
k_seq20,mid_highmid,set2/2022,0.013128573806847272,0.017441787437281846,0.004313213630434574
k_seq20,mid_highmid,set2/2023,0.01006011508318539,0.015449274130318207,0.005389159047132816
k_seq20,mid_highmid,set2/2024,0.007266800889097675,0.019027018272374067,0.011760217383276393
k_seq20,mid_highmid,set3/2022,0.003124505914638802,0.015131344783252253,0.01200683886861345
k_seq20,mid_highmid,set3/2023,-0.017321555471575146,0.006249191952295364,0.02357074742387051
k_seq20,mid_highmid,set3/2024,-0.00931034200526845,-0.008751510003669439,0.0005588320015990113
k_seq20,mid_highmid,set4/2022,0.017247671295128848,0.020130416976663765,0.002882745681534918
k_seq20,mid_highmid,set4/2023,0.01814922189690839,-0.0065752839080149665,-0.024724505804923358
k_seq20,mid_highmid,set4/2024,0.007540391378912173,0.01808163682638582,0.010541245447473646
k_seq20,original,orig/2022,0.003334662452903511,0.005306137954593903,0.001971475501690392
k_seq20,original,orig/2023,0.0012613544448800329,0.008712998480912093,0.00745164403603206
