arm,universe,cell,ret
k_isl20,mid_highmid,set1/2022,+0.69
k_isl20,mid_highmid,set1/2023,+16.39
k_isl20,mid_highmid,set1/2024,-10.76
k_isl20,mid_highmid,set2/2022,+23.02
k_isl20,mid_highmid,set2/2023,+25.72
k_isl20,mid_highmid,set2/2024,+1.20
k_isl20,mid_highmid,set3/2022,+35.78
k_isl20,mid_highmid,set3/2023,-7.60
k_isl20,mid_highmid,set3/2024,+11.63
k_isl20,mid_highmid,set4/2022,+15.87
k_isl20,mid_highmid,set4/2023,-9.01
k_isl20,mid_highmid,set4/2024,+7.57
k_isl20,original,orig/2022,+22.70
k_isl20,original,orig/2023,+17.29
k_ext250,mid_highmid,set1/2022,-14.12
k_ext250,mid_highmid,set1/2023,-10.32
k_ext250,mid_highmid,set1/2024,+16.95
k_ext250,mid_highmid,set2/2022,+28.91
k_ext250,mid_highmid,set2/2023,+12.97
k_ext250,mid_highmid,set2/2024,+26.24
k_ext250,mid_highmid,set3/2022,+30.59
k_ext250,mid_highmid,set3/2023,-4.88
k_ext250,mid_highmid,set3/2024,+14.28
k_ext250,mid_highmid,set4/2022,+10.24
k_ext250,mid_highmid,set4/2023,+1.64
k_ext250,mid_highmid,set4/2024,+8.03
k_ext250,original,orig/2022,-2.50
k_ext250,original,orig/2023,+25.81
k_seq20,mid_highmid,set1/2022,+16.45
k_seq20,mid_highmid,set1/2023,+0.67
k_seq20,mid_highmid,set1/2024,+6.67
k_seq20,mid_highmid,set2/2022,+7.65
k_seq20,mid_highmid,set2/2023,+17.21
k_seq20,mid_highmid,set2/2024,+13.38
k_seq20,mid_highmid,set3/2022,-9.40
k_seq20,mid_highmid,set3/2023,+28.91
k_seq20,mid_highmid,set3/2024,-0.57
k_seq20,mid_highmid,set4/2022,-13.15
k_seq20,mid_highmid,set4/2023,+6.00
k_seq20,mid_highmid,set4/2024,+9.97
k_seq20,original,orig/2022,-19.87
k_seq20,original,orig/2023,-22.16
