stock,model,n,mse,mae,r2,qlike
SH600000,lstm32_raw,417,0.14113237063002682,0.2489048814233746,0.16772922017885472,-8.107518653273242
SH600009,lstm32_raw,417,0.13471275460163776,0.2409156221474898,0.23259130795937355,-7.137876641481792
SH600010,lstm32_raw,417,0.16361827102606777,0.27797736741553564,0.1973208810810887,-7.348261379865747
SH600015,lstm32_raw,417,0.164768204124045,0.2895084357507899,0.16457575364701194,-8.699187214002245
SH600016,lstm32_raw,417,0.1590032914517086,0.28183506387515556,0.09322208924552633,-8.777428548370866
SH600018,lstm32_raw,414,0.154067755209368,0.28409403145426165,0.4979683078092787,-7.394905736288787
SH600028,lstm32_raw,417,0.1463289376173698,0.25807472869897385,0.14610870212659222,-8.714102041753847
SH600029,lstm32_raw,417,0.15842510408984523,0.2745054038622286,0.19891430345240257,-7.352876209231621
SH600030,lstm32_raw,410,0.1737056993941972,0.27825674304647907,0.3223778367308201,-7.180980448095791
SH600031,lstm32_raw,417,0.13467513803093348,0.21911384940172735,0.19509485109792168,-6.865452693510404
SH600036,lstm32_raw,417,0.1296651410399911,0.22093666990734562,0.13119145385393116,-7.627071403614856
SH600038,lstm32_raw,417,0.13547762835672597,0.2374181247538297,0.4028893699680943,-7.042688425509346
SH600048,lstm32_raw,417,0.1291367198659507,0.2247884749058284,0.14287593461662307,-7.089630189013601
SH600066,lstm32_raw,417,0.1439906300974179,0.25826842492741026,0.3918592908462303,-6.895107537918143
SH600068,lstm32_raw,417,0.1643062976854593,0.2710226187062475,0.3253339305213949,-7.586000604767202
SH600085,lstm32_raw,417,0.17235596986946825,0.27931091281732345,0.24284696229265157,-7.5426211729624
SH600089,lstm32_raw,417,0.1418320324070212,0.2638916982001256,0.6457771201046705,-7.615714650352344
SH600104,lstm32_raw,417,0.1289659778131135,0.2468393344625685,0.3133558779640707,-7.394296958099788
SH600109,lstm32_raw,412,0.16373515489500218,0.2733970765748736,0.44260553807691483,-6.866653967978304
SH600111,lstm32_raw,414,0.16336867031888366,0.2608450937385902,0.35382131726071286,-6.929335822544766
SH600115,lstm32_raw,416,0.1705896311037562,0.28683940251154066,0.26624844354455557,-7.280050489924743
SH600118,lstm32_raw,417,0.11958365835964564,0.23375325150757392,0.6000944170581723,-6.708271513323285
SH600170,lstm32_raw,417,0.14295192595030423,0.2633050185224479,0.3737837662912038,-8.087978891489827
SH600177,lstm32_raw,417,0.17243796476227122,0.3037004039655342,0.2373116071060003,-8.056402444786585
SH600188,lstm32_raw,417,0.15096261518071144,0.25146938948163045,0.12445516138259005,-7.504836980589315
SH600196,lstm32_raw,417,0.15666446187573393,0.26260017579277356,0.4157537048726948,-6.718962186767403
SH600208,lstm32_raw,416,0.28444352163865105,0.3043288771251481,0.24833239688634057,-7.02634721751197
SH600276,lstm32_raw,417,0.11586208804961294,0.22265276197873474,0.13987768305234716,-7.160760324357093
SH600332,lstm32_raw,417,0.1424514015841492,0.23242464493257872,0.28799694153598465,-7.219269381105466
SH600340,lstm32_raw,417,0.12262177231698244,0.21929131218297046,0.3554968382985939,-7.2970517365408645
SH600352,lstm32_raw,413,0.1441457073463763,0.2421148722028144,0.44992144551367663,-7.11363737412098
SH600362,lstm32_raw,417,0.16287318843537235,0.26587599069398377,0.270850005695335,-7.474858794165681
SH600369,lstm32_raw,417,0.1865093709299293,0.2951650062347706,0.36455205094058385,-6.949902837496274
SH600372,lstm32_raw,417,0.1520028516355346,0.2539638407164144,0.35013132570098404,-7.018779423056169
SH600383,lstm32_raw,417,0.13361421822100733,0.22496546686380367,0.17468549791518306,-6.836423796216692
SH600489,lstm32_raw,416,0.14897880310471673,0.26682884939228707,0.1374471970292247,-7.235296221844141
SH600519,lstm32_raw,417,0.1281249305563641,0.22723739737744836,0.1836491371562784,-7.54796188464665
SH600547,lstm32_raw,417,0.15412040200721439,0.2546223262826782,0.10227635151678482,-7.078957828500997
SH600570,lstm32_raw,416,0.13623576982041802,0.24670044139127606,0.26084081747257293,-6.634977794757128
SH600583,lstm32_raw,417,0.12950861734339394,0.22340233373306834,0.16965749419089127,-7.219892931053288
SH600585,lstm32_raw,417,0.13387856862322747,0.21787292842189598,0.14481627806727604,-7.308691596180668
SH600588,lstm32_raw,417,0.1318213249196816,0.23352140095414323,0.3521325719064071,-6.292989300680931
SH600637,lstm32_raw,417,0.13678564161776346,0.2519106654908655,0.34859045717176784,-7.433145222988197
SH600660,lstm32_raw,417,0.1492508556376663,0.2468224533956881,0.3594883680167701,-7.379860553404827
SH600674,lstm32_raw,417,0.12103054305513461,0.23478721272415293,-0.03637624897953784,-8.086074712420313
SH600703,lstm32_raw,415,0.14015807127377303,0.25316782319111547,0.11592397157146073,-6.018401049312569
SH600705,lstm32_raw,417,0.156662804120961,0.26787411007769824,0.43324482359314676,-7.244659814424974
SH600741,lstm32_raw,417,0.1291509878705954,0.2217816211647736,0.15429056908228655,-6.65146893580516
SH600837,lstm32_raw,417,0.16146712939517543,0.27254587273226505,0.3569870996689539,-7.034603288740627
SH600886,lstm32_raw,417,0.11905933428583523,0.2210015751967976,0.05199864529517284,-7.643996552453653
SH600887,lstm32_raw,417,0.11353498121050229,0.20675608436988288,0.24142027184554204,-7.351495815821881
SH600893,lstm32_raw,406,0.14345239733611623,0.241330399041799,0.5397058660361003,-7.147785592246322
SH600999,lstm32_raw,411,0.13419741151501624,0.2531132115896251,0.37844049658265433,-7.0844838747154135
SH601006,lstm32_raw,417,0.13611376891334173,0.24530418700949194,-0.041700389304101915,-8.6342164590031
SH601009,lstm32_raw,417,0.15746624614576712,0.26616423262370414,0.23907050546540598,-7.811377713898509
SH601111,lstm32_raw,416,0.1630858439719878,0.2708571887575384,0.10077804132827117,-7.139993041787449
SH601166,lstm32_raw,417,0.13938215128797812,0.25101898659657185,0.13560983554943862,-7.951759696960915
SH601169,lstm32_raw,417,0.13309917438201746,0.2530589186529735,0.187235137931812,-8.652386279543897
SH601186,lstm32_raw,417,0.1448203024817427,0.2542451890677807,0.30346017141050885,-7.62408840524299
SH601225,lstm32_raw,417,0.14356961129659734,0.25081447545213925,0.1567507237716096,-7.518415804102885
SH601288,lstm32_raw,417,0.13480302635019623,0.2537388721266453,0.09087774789121184,-8.998308689106144
SH601318,lstm32_raw,417,0.11592832794245155,0.21973955659305897,0.3550851949279774,-7.9167615238750555
SH601328,lstm32_raw,417,0.1488307435449178,0.2780319343946269,0.30279309970972457,-8.91053303209369
SH601336,lstm32_raw,417,0.15073310936618228,0.2541711049532894,0.3759381086968281,-7.186301388341033
SH601377,lstm32_raw,417,0.1827149939802868,0.2849712514421395,0.36941617180159203,-7.0279639383315144
SH601398,lstm32_raw,417,0.1377535004214473,0.26101848941623074,0.12736408660441279,-8.735315165604858
SH601555,lstm32_raw,411,0.1740235377185407,0.27877912759619444,0.4050519981441788,-6.770462311768544
SH601601,lstm32_raw,417,0.13636816920602776,0.2401182022836119,0.108113577070996,-7.311806869585748
SH601607,lstm32_raw,417,0.16440117677051044,0.2848483455016124,0.3740413866697505,-7.320500835827274
SH601628,lstm32_raw,417,0.1376534521355102,0.23144634215960425,0.3885981634346931,-6.998115040172066
SH601633,lstm32_raw,416,0.1610954575619132,0.2815808445580039,0.40953427969865197,-6.471402200039758
SH601668,lstm32_raw,417,0.13931028298557196,0.24563421436042585,0.08564230274571283,-7.914819046448557
SH601669,lstm32_raw,417,0.17175524769151543,0.2705611151959549,0.2906827814982085,-7.641648928523314
