stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600000,naive,,,,,,,,,,,,,
SH600000,har,0.07543737789087314,0.43453835220317416,0.40575190084499074,-0.34945571515685125,,,,,,,,,
SH600000,har_x,,,,,,,,,,,,,
SH600000,ewma,,,,,-0.765039537102078,0.8666679388069192,True,,,,,,
SH600000,garch,,,,,-0.23459247190323354,1.0167228616228159,True,0.9937311925111809,0.020728931442961892,,,,
SH600000,egarch,,,,,-0.21015716018446326,1.025700514019216,True,0.9886583217037944,0.020723227391823324,,,,
SH600008,naive,,,,,,,,,,,,,
SH600008,har,0.11076372600645518,0.3961897351026485,0.32700535142476533,-0.658506871090863,,,,,,,,,
SH600008,har_x,,,,,,,,,,,,,
SH600008,ewma,,,,,-1.5491121364480491,0.6575534594387697,True,,,,,,
SH600008,garch,,,,,0.9777547519243651,1.4136512493838522,True,0.9428236295922923,0.02811014176729632,,,,
SH600008,egarch,,,,,1.0454989567998316,1.4290729884402367,True,0.9579031943345093,0.02828104127729232,,,,
SH600009,naive,,,,,,,,,,,,,
SH600009,har,0.06676417546670715,0.3644925514149765,0.4629460082952997,-0.4381130951428767,,,,,,,,,
SH600009,har_x,,,,,,,,,,,,,
SH600009,ewma,,,,,-1.1055676955853184,0.758848898736394,True,,,,,,
SH600009,garch,,,,,-0.8496352411826689,0.8319624508561642,True,0.9982567005485995,0.019510436741235454,,,,
SH600009,egarch,,,,,-0.7709138886435543,0.8532097838767312,True,0.9953861524919905,0.019136326266165155,,,,
SH600010,naive,,,,,,,,,,,,,
SH600010,har,0.07452948826628726,0.35645750688807293,0.2332949094159061,-1.299384990416783,,,,,,,,,
SH600010,har_x,,,,,,,,,,,,,
SH600010,ewma,,,,,-0.9917346852145303,0.7933442895985856,True,,,,,,
SH600010,garch,,,,,0.5424441029374011,1.2378303086133522,True,0.92738700671625,0.02639857128494566,,,,
SH600010,egarch,,,,,0.7486695856323271,1.2996131478655863,True,0.9147450277678059,0.027008547113495106,,,,
SH600011,naive,,,,,,,,,,,,,
SH600011,har,0.13215846900401654,0.36029710114409363,0.372614158913505,-0.5462801768700348,,,,,,,,,
SH600011,har_x,,,,,,,,,,,,,
SH600011,ewma,,,,,-0.5421463102198425,0.9029601374285579,True,,,,,,
SH600011,garch,,,,,0.29455014901063215,1.1371030753239362,True,0.9858444965717537,0.02004552484283908,,,,
SH600011,egarch,,,,,0.25800268576396473,1.1272868395038536,True,0.9829424916398928,0.02000089905401839,,,,
SH600015,naive,,,,,,,,,,,,,
SH600015,har,0.06753035016397936,0.363251211012766,0.45977825165827463,-0.44413856210344543,,,,,,,,,
SH600015,har_x,,,,,,,,,,,,,
SH600015,ewma,,,,,-0.622266763591887,0.8946532073855636,True,,,,,,
SH600015,garch,,,,,0.10994933985364118,1.102833548707903,True,0.9884413868910087,0.021316237099193645,,,,
SH600015,egarch,,,,,0.20668269905028663,1.131546721798972,True,0.9819566728127684,0.02184854999676227,,,,
SH600016,naive,,,,,,,,,,,,,
SH600016,har,0.1161230162473492,0.3725213513059041,0.3935074538403493,-0.4910775938212216,,,,,,,,,
SH600016,har_x,,,,,,,,,,,,,
SH600016,ewma,,,,,-0.8966811921851513,0.827966371120309,True,,,,,,
SH600016,garch,,,,,-0.39324866108856454,0.9698207977457277,True,0.9941337044473593,0.01911840609638092,,,,
SH600016,egarch,,,,,-0.3369043571102671,0.9880505100605145,True,0.983365708540582,0.019292174983313273,,,,
SH600018,naive,,,,,,,,,,,,,
SH600018,har,0.09156297048063092,0.3852723817746276,0.36344690647751343,-0.6531025482943288,,,,,,,,,
SH600018,har_x,,,,,,,,,,,,,
SH600018,ewma,,,,,-2.194577700886362,0.5034946449727591,True,,,,,,
SH600018,garch,,,,,35.428623922913005,11.826734441952683,True,0.80085219380907,0.03536140512121832,,,,
SH600018,egarch,,,,,-4.001826230135258,0.08958457152569278,False,0.9917628947997228,0.09089663700135663,,,,
SH600019,naive,,,,,,,,,,,,,
SH600019,har,0.10966521585787888,0.3754076238345233,0.43563949944576136,-0.3364774400665568,,,,,,,,,
SH600019,har_x,,,,,,,,,,,,,
SH600019,ewma,,,,,-0.714071887837969,0.8663673661165393,True,,,,,,
SH600019,garch,,,,,0.14105625888117487,1.0951930314894915,True,0.9924283425711541,0.01875772936473125,,,,
SH600019,egarch,,,,,0.06410681230709349,1.0768478118544078,True,0.9931771833887785,0.018857646736262626,,,,
SH600027,naive,,,,,,,,,,,,,
SH600027,har,0.1236629134418224,0.3512936930687046,0.3797807096340575,-0.5837795962506869,,,,,,,,,
SH600027,har_x,,,,,,,,,,,,,
SH600027,ewma,,,,,-0.9762034554268172,0.7961935076727852,True,,,,,,
SH600027,garch,,,,,0.23478270097578763,1.1357095459002808,True,0.9828962997161325,0.022157491518982105,,,,
SH600027,egarch,,,,,0.15206735948267802,1.1156843541313801,True,0.9741805858681716,0.02207893705411945,,,,
SH600028,naive,,,,,,,,,,,,,
SH600028,har,0.1275901297210535,0.3483183938093273,0.4081981280706748,-0.4929543483962649,,,,,,,,,
SH600028,har_x,,,,,,,,,,,,,
SH600028,ewma,,,,,-1.1808300077007363,0.7609103976512487,True,,,,,,
SH600028,garch,,,,,0.3965056716993395,1.1956980208295376,True,0.9429999226752535,0.018015994656093444,,,,
SH600028,egarch,,,,,-1.3604340844357512,0.7793480182048903,True,0.8710359192754492,0.018315571990511294,,,,
SH600029,naive,,,,,,,,,,,,,
SH600029,har,0.10344452924622376,0.2073925385908625,0.5816056664638725,-0.4220185498649706,,,,,,,,,
SH600029,har_x,,,,,,,,,,,,,
SH600029,ewma,,,,,-0.811082385185023,0.828907828907304,True,,,,,,
SH600029,garch,,,,,-0.5910709334512431,0.8979451611165142,True,0.9991776529820425,0.025435778441740848,,,,
SH600029,egarch,,,,,-0.49637336150200345,0.9233100554310378,True,0.9963237828208744,0.025806883955250423,,,,
SH600030,naive,,,,,,,,,,,,,
SH600030,har,0.03569413940376224,0.3250118298569133,0.4747459155355662,-0.6469176687084502,,,,,,,,,
SH600030,har_x,,,,,,,,,,,,,
SH600030,ewma,,,,,-0.871644692854971,0.8363654506670668,True,,,,,,
SH600030,garch,,,,,0.45072455414532586,1.214725721981914,True,0.9708701045513949,0.025419745671988302,,,,
SH600030,egarch,,,,,0.40860036270722416,1.205386244558123,True,0.9748123084234784,0.025654739330150608,,,,
SH600031,naive,,,,,,,,,,,,,
SH600031,har,0.0794219729448427,0.4192764102485161,0.35033709002089325,-0.5921290421268918,,,,,,,,,
SH600031,har_x,,,,,,,,,,,,,
SH600031,ewma,,,,,-0.8910855039723323,0.8238942494227931,True,,,,,,
SH600031,garch,,,,,-0.1269414031816056,1.044713803090439,True,0.9939179782260673,0.026002748694761317,,,,
SH600031,egarch,,,,,-0.1060726001261023,1.0520522569173745,True,0.9868732961124093,0.025466528967752956,,,,
SH600036,naive,,,,,,,,,,,,,
SH600036,har,0.0943202647071139,0.4380149562773295,0.3648684467743943,-0.42761206863030427,,,,,,,,,
SH600036,har_x,,,,,,,,,,,,,
SH600036,ewma,,,,,-0.7710053992843366,0.8540905010050572,True,,,,,,
SH600036,garch,,,,,-0.22606172130209606,1.004478009934636,True,0.9942937186482589,0.01870546821591297,,,,
SH600036,egarch,,,,,-0.22010787217372554,1.0097714184219522,True,0.9861428404200597,0.018582501728443473,,,,
SH600048,naive,,,,,,,,,,,,,
SH600048,har,0.07798334026432986,0.4692160084793704,0.30526802576934253,-0.5543376462021163,,,,,,,,,
SH600048,har_x,,,,,,,,,,,,,
SH600048,ewma,,,,,-0.5938185909034008,0.8783229322252196,True,,,,,,
SH600048,garch,,,,,0.487807416900111,1.1919402325120867,True,0.987063243920029,0.027418500639727717,,,,
SH600048,egarch,,,,,0.31032168341787053,1.1436139185995815,True,0.9857971890060224,0.027726899538111412,,,,
SH600050,naive,,,,,,,,,,,,,
SH600050,har,0.123541787739242,0.23933834974899543,0.4964892332646641,-0.5843039812482754,,,,,,,,,
SH600050,har_x,,,,,,,,,,,,,
SH600050,ewma,,,,,-0.8758037187421329,0.8204173477928651,True,,,,,,
SH600050,garch,,,,,-0.05482556906385821,1.038506365401815,True,0.9872936499306814,0.018439578307504485,,,,
SH600050,egarch,,,,,-0.13975909932944913,1.018449490278474,True,0.9924523153499748,0.01857808849295509,,,,
SH600060,naive,,,,,,,,,,,,,
SH600060,har,0.22273878798795602,0.23141352687244263,0.26978684659470925,-1.1619526628653591,,,,,,,,,
SH600060,har_x,,,,,,,,,,,,,
SH600060,ewma,,,,,-1.6055343415688852,0.6548882198099368,True,,,,,,
SH600060,garch,,,,,2.6325900545499867,1.752760126725184,True,0.8519721310491077,0.021380736600963544,,,,
SH600060,egarch,,,,,2.817983298156583,1.8014824249106005,True,0.9389600205157276,0.022413870939537762,,,,
SH600066,naive,,,,,,,,,,,,,
SH600066,har,0.06842676538924689,0.24895871635558608,0.47091363169581085,-0.8269445056004935,,,,,,,,,
SH600066,har_x,,,,,,,,,,,,,
SH600066,ewma,,,,,-1.4619265299379804,0.650222723415635,True,,,,,,
SH600066,garch,,,,,-0.987639570084038,0.7830786526111534,True,0.9932387095999464,0.023013779646565476,,,,
SH600066,egarch,,,,,-0.9804106748769039,0.7858720987310334,True,0.9920861867101078,0.023001511607223277,,,,
SH600068,naive,,,,,,,,,,,,,
SH600068,har,0.11214482580525413,0.25344168389104954,0.5522315850895297,-0.3264325358618878,,,,,,,,,
SH600068,har_x,,,,,,,,,,,,,
SH600068,ewma,,,,,-0.5087194471010195,0.920594405438001,True,,,,,,
SH600068,garch,,,,,0.5594941449627333,1.2231073471826621,True,0.9955142367526254,0.02507818791218316,,,,
SH600068,egarch,,,,,0.6582828039610122,1.252251593653341,True,0.990566802419598,0.025709051603817836,,,,
SH600085,naive,,,,,,,,,,,,,
SH600085,har,0.11561433945178012,0.3808853675146381,0.29084899147417664,-0.8512451977522323,,,,,,,,,
SH600085,har_x,,,,,,,,,,,,,
SH600085,ewma,,,,,-1.2937965577367028,0.7073674322890967,True,,,,,,
SH600085,garch,,,,,-0.8676638392354957,0.8267698926673286,True,0.9965265895452755,0.02305243310416113,,,,
SH600085,egarch,,,,,-0.8482239783051231,0.8321427544856117,True,0.9976003035542816,0.02309861014771017,,,,
SH600089,naive,,,,,,,,,,,,,
SH600089,har,0.09092252208601066,0.3473011398602744,0.39598197708841565,-0.6595535378155137,,,,,,,,,
SH600089,har_x,,,,,,,,,,,,,
SH600089,ewma,,,,,-0.6856546527650005,0.8768361301584298,True,,,,,,
SH600089,garch,,,,,0.5342687767843607,1.2134400352156305,True,0.989124530892082,0.023862884882339425,,,,
SH600089,egarch,,,,,0.6178352582226374,1.2377425271562255,True,0.9886047311639027,0.024057113585711047,,,,
SH600100,naive,,,,,,,,,,,,,
SH600100,har,0.06293699996658299,0.26726886286213647,0.5407163702049128,-0.49323594730560866,,,,,,,,,
SH600100,har_x,,,,,,,,,,,,,
SH600100,ewma,,,,,-0.8671675468705171,0.8193045583825673,True,,,,,,
SH600100,garch,,,,,-0.2899137641588042,0.9903400127413859,True,0.9940116019104548,0.02846563700789482,,,,
SH600100,egarch,,,,,-0.21603354698039792,1.0127782297889152,True,0.9907562935629449,0.028730077878029,,,,
SH600104,naive,,,,,,,,,,,,,
SH600104,har,0.06591662805310272,0.39135003035374427,0.37566701590234425,-0.651061104704903,,,,,,,,,
SH600104,har_x,,,,,,,,,,,,,
SH600104,ewma,,,,,-1.0444617264789833,0.7699680143129278,True,,,,,,
SH600104,garch,,,,,-0.4255867637096881,0.9448542631795047,True,0.9948929540410129,0.02341548353234292,,,,
SH600104,egarch,,,,,-0.5088887187958671,0.9224596070597695,True,0.996976825502659,0.023504240281659827,,,,
SH600109,naive,,,,,,,,,,,,,
SH600109,har,0.047970272344671924,0.3679504764384746,0.4133449935480073,-0.6309240616114029,,,,,,,,,
SH600109,har_x,,,,,,,,,,,,,
SH600109,ewma,,,,,-0.646653321167426,0.8801014627333045,True,,,,,,
SH600109,garch,,,,,0.5344279108164208,1.2362908755185462,True,0.9815512119751538,0.0310650953211185,,,,
SH600109,egarch,,,,,0.5065517932032384,1.2311270585557605,True,0.9766018161778282,0.03119984126897227,,,,
SH600111,naive,,,,,,,,,,,,,
SH600111,har,0.09751408351707012,0.2896653537427008,0.45071387043089284,-0.6057844034524466,,,,,,,,,
SH600111,har_x,,,,,,,,,,,,,
SH600111,ewma,,,,,-0.6609386869045593,0.883343532625074,True,,,,,,
SH600111,garch,,,,,0.18866633439467043,1.1405071109237213,True,0.9877285033627274,0.031118086021646285,,,,
SH600111,egarch,,,,,0.11587329425112505,1.1203240358923863,True,0.9837209339040405,0.03141624554430719,,,,
SH600115,naive,,,,,,,,,,,,,
SH600115,har,0.05310356356303876,0.31374050194290165,0.49569906262609764,-0.5454348435337716,,,,,,,,,
SH600115,har_x,,,,,,,,,,,,,
SH600115,ewma,,,,,-1.077572361607839,0.7737373271640673,True,,,,,,
SH600115,garch,,,,,-0.5792380719863763,0.9267747911389709,True,0.9956302737146498,0.02448159115748982,,,,
SH600115,egarch,,,,,-0.5205514226959126,0.9430170632014045,True,0.9904586744554659,0.02392328430088353,,,,
SH600118,naive,,,,,,,,,,,,,
SH600118,har,0.12155531763687087,0.31968029883129045,0.3489922426033378,-0.7963612179107715,,,,,,,,,
SH600118,har_x,,,,,,,,,,,,,
SH600118,ewma,,,,,-1.0207957312599125,0.7788157145304803,True,,,,,,
SH600118,garch,,,,,0.5169714395784407,1.2288920750669978,True,0.9559905926013167,0.028613803790771098,,,,
SH600118,egarch,,,,,0.7901218788928365,1.3079037387850494,True,0.9626670117253066,0.029515702428978073,,,,
SH600150,naive,,,,,,,,,,,,,
SH600150,har,0.09753139144275821,0.3479016302180541,0.30679850063399855,-0.9642193384645297,,,,,,,,,
SH600150,har_x,,,,,,,,,,,,,
