stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,error,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600000,naive,,,,,,,,,,,,,,
SH600000,har,0.09480958159957491,0.4438717742807528,0.3549695978566977,-0.43991065498113685,,,,,,,,,,
SH600000,har_x,,,,,,,,,,,,,,
SH600000,ewma,,,,,-0.8450561052148291,0.8466839067089342,True,,,,,,,
SH600000,garch,,,,,-0.3145332329587683,0.9965691846843144,True,0.9938864433832297,0.018953783725572458,,,,,
SH600000,egarch,,,,,-0.2489006793151808,1.0161973059655383,True,0.9877418804317961,0.01915352391884831,,,,,
SH600008,naive,,,,,,,,,,,,,,
SH600008,har,0.12216064994694141,0.3688884946239546,0.35747393997991744,-0.595699146927357,,,,,,,,,,
SH600008,har_x,,,,,,,,,,,,,,
SH600008,ewma,,,,,-1.414393504007544,0.6913743923101844,True,,,,,,,
SH600008,garch,,,,,0.7920197168118661,1.3621106539493946,True,0.9548397251632513,0.028216031767582632,,,,,
SH600008,egarch,,,,,0.7951372225443856,1.3593054968806744,True,0.96182678831324,0.028407576520798807,,,,,
SH600009,naive,,,,,,,,,,,,,,
SH600009,har,0.07277652719205353,0.3591635637998051,0.46793951879139517,-0.41218957334360323,,,,,,,,,,
SH600009,har_x,,,,,,,,,,,,,,
SH600009,ewma,,,,,-1.0919059944227951,0.7628365790705245,True,,,,,,,
SH600009,garch,,,,,-0.8347609553407467,0.8370520532679814,True,0.9982290120786168,0.018967687745774706,,,,,
SH600009,egarch,,,,,-0.7354192145104679,0.8637808079550711,True,0.9934045958710531,0.01879570108828286,,,,,
SH600010,naive,,,,,,,,,,,,,,
SH600010,har,0.08345204733879474,0.3532290098092691,0.2671766978410845,-1.1370919252339151,,,,,,,,,,
SH600010,har_x,,,,,,,,,,,,,,
SH600010,ewma,,,,,-0.9919009017543108,0.793431046985146,True,,,,,,,
SH600010,garch,,,,,0.4136592984263912,1.2052836916888972,True,0.9460044604733214,0.02617032878182661,,,,,
SH600010,egarch,,,,,0.5665161576484835,1.2528622526418918,True,0.9335353984224399,0.026806819449671924,,,,,
SH600015,naive,,,,,,,,,,,,,,
SH600015,har,0.08283148719810166,0.39685878691947846,0.3796288954128194,-0.5708032575077554,,,,,,,,,,
SH600015,har_x,,,,,,,,,,,,,,
SH600015,ewma,,,,,-0.7707079456019593,0.8588316413854075,True,,,,,,,
SH600015,garch,,,,,-0.013369883677924833,1.0728555584391426,True,0.9882012829717917,0.02042405161576796,,,,,
SH600015,egarch,,,,,0.12090244820715157,1.1112422513546294,True,0.9815952890312465,0.021022440525154607,,,,,
SH600016,naive,,,,,,,,,,,,,,
SH600016,har,0.13435479071207024,0.3941643509417478,0.31604978685845103,-0.6482168467980179,,,,,,,,,,
SH600016,har_x,,,,,,,,,,,,,,
SH600016,ewma,,,,,-1.0498565578416985,0.7916439916912843,True,,,,,,,
SH600016,garch,,,,,-0.4938081147971793,0.9471324227899458,True,0.9924590839163038,0.017913092480065982,,,,,
SH600016,egarch,,,,,-0.27816815420202956,1.0065314721245948,True,0.9773292499412749,0.018121883005562882,,,,,
SH600018,naive,,,,,,,,,,,,,,
SH600018,har,0.11253983774599705,0.4131460852992434,0.31984884800040864,-0.6277456747577093,,,,,,,,,,
SH600018,har_x,,,,,,,,,,,,,,
SH600018,ewma,,,,,-1.9485929551807546,0.5625944731722656,True,,,,,,,
