stock,model,n,mse,mae,r2,qlike,r2_offset22
SH600000,naive,243,0.10898977524853908,0.2530709672907011,0.09926349249166555,-8.376897763544987,0.0729206699304209
SH600008,naive,234,0.30345521006518916,0.33588926052144136,0.2320496543966375,0.6330673295324197,0.11292355363354589
SH600009,naive,244,0.0958909050148438,0.25089834376606207,0.464600314695537,-7.423547475214167,0.2706147653324168
SH600010,naive,243,0.11533839086159157,0.26497512084745567,0.18004696318444324,-7.423343528211115,0.17774303243740042
SH600015,naive,244,0.12350006901552306,0.27158983536463144,-0.21775396677368608,-8.329390940282462,-0.20352505956541922
SH600016,naive,243,0.12299156063291614,0.27271718265655814,0.26057380457543955,-8.653832457709063,0.26330634673376374
SH600018,naive,240,0.10371752398923718,0.2513808850649125,0.3565374572566006,-7.438028210656923,0.34965529670253925
SH600019,naive,225,0.08604509743397346,0.22442553267126406,0.25801877173423826,-7.1201434155962575,0.387051964896996
SH600021,naive,238,0.12715853256851486,0.27438270105846724,0.04809723055582593,-7.8837543457363015,-0.03512558205335292
SH600023,naive,244,0.06602900151157873,0.20370514228407482,0.44629399161300654,-8.823303396310044,0.3902017005155871
SH600028,naive,243,0.08666420048871241,0.23976366617384404,0.19872685940106705,-8.230692209789733,0.07978480906887186
SH600029,naive,240,0.0877305951583026,0.2229335200235312,0.4676916031515801,-7.067455827364766,0.4867870685204172
SH600030,naive,244,0.10043896690570482,0.24657074532899842,0.1679531731488496,-8.064136607225427,0.1900281934472159
SH600031,naive,243,0.07047862207961211,0.20926560360296317,-0.08576137086793523,-7.160559089471986,-0.06425611836294465
SH600036,naive,243,0.06812386494052347,0.20273609432079778,0.5120533390446735,-7.55802884409767,0.468275221269833
SH600037,naive,223,0.08824128796290928,0.22421957855305005,0.13696105862973695,-8.031626860795608,0.1788792837484332
SH600048,naive,244,0.11004004306489805,0.2697158436678053,0.3857797874481166,-7.2867800536591165,0.29408035465051763
SH600050,naive,149,0.1486216473356202,0.28584278895193205,-0.39132135788998257,-6.79355683282339,-0.5219974736023867
SH600060,naive,223,0.07367310629888355,0.22029199814864234,0.2638585604918672,-7.601957053096249,0.2671461195525102
SH600066,naive,243,0.08984452145486592,0.2368581994181666,0.40057011617966554,-7.467904417440887,0.30568103928321444
SH600068,naive,244,0.09106688190156323,0.23715402616730202,0.24708871630850326,-7.022846440078752,0.2663964449528261
SH600085,naive,243,0.08888706639508603,0.2375899847389447,0.31868878679600265,-8.132562211765867,0.23111800316897646
SH600089,naive,238,0.12021031780761259,0.2806775707238565,0.1702271470692115,-7.408893831797819,0.1936733536252867
SH600100,naive,138,0.1492416645879016,0.3005350755920976,0.2990988333144018,-7.535385879124105,0.2557278997416683
SH600104,naive,243,0.07902623508420882,0.22339326228170542,-0.20960966969510286,-7.6462116582515085,-0.19809954208790814
SH600109,naive,244,0.10411055201997649,0.2573506954495375,-0.5371472412131264,-7.711123135325825,-0.5196531691948665
SH600111,naive,243,0.09026757792786325,0.2276942378131231,0.6434315402809936,-7.005884973604182,0.6409457358967725
SH600115,naive,244,0.123299617567035,0.2848355389044224,0.31499634936363574,-7.53949966902041,0.3300675016176624
SH600118,naive,244,0.09068497559463559,0.23872953194726207,-0.3064435737030793,-7.9436297563721885,-0.290047642660894
SH600150,naive,175,0.09080879691007102,0.23913807977282034,0.15554959310446115,-7.148631232906537,0.13047415022106457
SH600153,naive,243,0.08763225382277587,0.23981017212838618,0.16027359463519708,-7.600149564453809,0.11868721548569927
SH600157,naive,214,0.1339759360252046,0.2775928134490751,0.1094203045683273,-7.929116591399829,0.20443508396601917
SH600170,naive,243,0.0994287361421618,0.24908429717894645,-0.1128469020862346,-8.387683776046565,-0.1022923590211735
SH600177,naive,244,0.11240045822796595,0.2803145816919401,0.11957536034258553,-8.7696735518882,0.16203731426956558
SH600188,naive,244,0.07268547981748248,0.21544384923036597,0.20334308118035238,-6.850496505714038,0.17455249551866492
SH600196,naive,243,0.05519248495563791,0.18796009224121757,0.49645721864346093,-7.05681714512883,0.4502890836671356
SH600208,naive,241,0.10356035623496207,0.25197020014401666,0.5266831395990155,-7.586719057293944,0.5255460758448202
SH600221,naive,243,0.11134804263541542,0.27711100048065396,-0.19152632815567272,-8.656737616553754,-0.05275650711955815
SH600252,naive,99,0.0819793570534238,0.22763896834525155,-0.12952910900710668,-8.44214830840914,0.12280033810079194
SH600256,naive,224,0.10721132046469835,0.25115609763117047,0.10505614887936132,-7.922398359848093,0.23032254124525597
SH600271,naive,238,0.07175755360903893,0.2198253269443928,0.5284981916561478,-7.710623787198233,0.533275361165414
SH600276,naive,243,0.0933043037234555,0.23693694369976606,0.055409516057611685,-7.583647385214923,0.11518765860287372
SH600309,naive,225,0.061362162190322686,0.20026643962616603,-0.36793079398213613,-6.773714070326068,-0.348902811271915
SH600332,naive,199,0.055178124722943304,0.1967502823376809,0.3619980205439277,-7.693739481339051,0.12760052549676704
SH600340,naive,240,0.6214101706071815,0.3625859748089705,-0.6705811782636246,199.24511901904125,-0.6891428424593293
SH600352,naive,243,0.058641546649190336,0.19359877482782975,0.6265465354518468,-7.765834594267672,0.6357581979898004
SH600362,naive,243,0.07477687492287644,0.22552436876032658,0.1852536409432517,-7.078182045959943,0.10327677690524895
SH600369,naive,243,0.15151198200691612,0.3068059723420007,-0.3263727603756241,-7.9222577298674945,-0.22687380234250698
SH600372,naive,239,0.10469247503842799,0.26935582142392334,-0.16552097323888515,-7.274269280935487,-0.07258561632754179
SH600376,naive,243,0.19133594010836494,0.33430462246733433,0.0881134569963935,-7.584486572447067,0.11811463430382174
SH600383,naive,243,0.08306953999020121,0.2301566717787871,0.21811370341313185,-7.406222937154773,0.21158100953797288
SH600406,naive,136,0.07086104399720679,0.20625990936705935,0.46761326318983165,-7.178174948415226,0.5063177006922155
SH600415,naive,243,0.12144089853604659,0.27952221198416627,0.13703729321022762,-8.127070090244414,0.14894648147854983
SH600489,naive,243,0.1073567163370663,0.25611708462692195,0.05255274764496698,-7.802429044425546,0.09507537376677566
SH600518,naive,243,0.08336571888628885,0.2303035615256886,0.33293990383527794,-7.829182480760886,0.35638757284323075
SH600519,naive,244,0.08986076764704679,0.2409866556331702,0.03833908905030681,-7.739011386829103,0.09780763874980525
SH600535,naive,243,0.07662085289032096,0.21509814465672272,-0.016859810587117607,-8.129882481625678,-0.01669185579740895
SH600547,naive,214,0.09850434231766746,0.25210114448071086,0.08662384294781256,-7.741912455497287,0.10783050647994497
SH600549,naive,244,0.07134518292696895,0.20681669452857787,0.3047464502350593,-6.54935254172157,0.3779902128234667
SH600582,naive,99,0.0940585562158489,0.24914270425751792,-0.6267232371951812,-7.199637439732597,-0.4702395014969989
SH600583,naive,243,0.10977615446522052,0.26092935768174164,0.16361584438983756,-7.835170725020671,0.16603333765670958
SH600585,naive,244,0.08902890569310144,0.2359328431944834,-0.04138307248974438,-7.045205269885856,-0.06642922926420014
SH600588,naive,242,0.11836500683774184,0.26528623129264245,0.209834355786086,-6.712919950241835,0.24988347726984006
SH600637,naive,236,0.06510187239852659,0.20897709814336685,0.27364944267302926,-8.54326782323159,0.3002984133262955
SH600648,naive,95,0.14482370098203134,0.31146404671946554,-0.4493312849065956,-7.718432854008049,-0.3513574662748784
SH600649,naive,186,0.18696448107237112,0.2951283896529716,-0.16198078773500701,-6.7802392270196705,0.19700322284921468
SH600660,naive,243,0.06859512838707289,0.2141164687271646,0.06227128490053668,-7.474586449776613,-0.1588360566029734
SH600663,naive,243,0.14929921541801902,0.30427981964316325,-0.3713997765245485,-7.736940415691035,-0.29424357154182035
SH600674,naive,243,0.09289251556694555,0.23704497730562504,0.09528254574576811,-8.474507350795248,0.0981355850949327
SH600688,naive,244,0.09314498458435218,0.23743759005267664,0.21752649739132834,-8.016768832899833,0.1437131932299397
SH600690,naive,244,0.0871723008094877,0.23120811510566638,0.3683432991408935,-7.1588388028238406,-0.022678770841348506
SH600703,naive,244,0.05575507135524795,0.19346637677712775,0.06290324670098935,-6.7479909337342034,0.06794318618073247
SH600705,naive,243,0.11310063156462041,0.27251047106362714,-0.4643483140736624,-7.969521772020606,-0.4982759820537317
SH600718,naive,224,0.07545523815618427,0.21779212837290132,0.008375606454181339,-7.221256885212207,-0.03549686611570868
SH600737,naive,223,0.10151117427838947,0.2572457607665099,-0.5285534548544248,-7.486217262119809,-0.5046761766532972
SH600739,naive,237,0.09264287970576693,0.24084612116797702,0.1557069677208066,-8.018238488211738,0.2096738106046605
SH600741,naive,243,0.06582534006211016,0.2016834145341897,0.46068215958459946,-7.222608975447898,0.3840229085092367
SH600783,naive,99,0.07650522678960575,0.21411172663983385,-0.0012549308614373533,-7.370070227517565,0.22238290712764375
SH600795,naive,180,0.14509000677825318,0.3061814594135742,-0.21217991670894576,-8.119130485533274,-0.2166405960207214
SH600804,naive,238,0.09218768213778397,0.23060383796076517,0.02557260477007617,-7.239096117322723,0.07717831573007206
SH600820,naive,243,0.088630054500689,0.24578267586418995,0.04068436658843211,-7.9950997064290386,-0.008769323572906051
SH600827,naive,243,0.12017602583238383,0.26806763304502673,-0.5689259769256045,-7.204447995789749,-0.6105437307443213
SH600837,naive,243,0.10332195526320584,0.24636838610587564,-0.42019624516279785,-8.260597937397112,-0.41626072091694843
SH600839,naive,99,0.10232287420301521,0.2529166174909412,-1.0420344755929491,-7.902420773394237,-0.8742292095741768
SH600867,naive,92,0.12217542511270733,0.25881511071829694,-0.6271214700060126,-7.590557836797978,-1.0033539155612177
SH600873,naive,99,0.11079465399972413,0.2505873318432341,-0.1809915250240619,-7.401244228125915,-0.06060294079078288
SH600886,naive,243,0.08243342973743159,0.22304535011442592,0.0830968979936556,-8.20327393707201,0.1909490224674587
SH600887,naive,240,0.0682718935216743,0.2057507217325473,0.4683407803054116,-7.403527103788436,0.3418463757835287
SH600893,naive,243,0.09650695766327505,0.23588204263831442,0.35583358817907096,-7.34857238788565,0.3290920866625726
SH600895,naive,244,0.14129724436679636,0.2991060435096974,-0.6251239341808146,-8.127240986919382,-0.6587024529101466
SH600900,naive,244,0.07287146637715065,0.21775437844237433,0.17912086199785981,-8.590005588735579,0.06146014066330041
SH600999,naive,244,0.09405636597929579,0.25054954808561386,0.3757695912975991,-7.761558450543416,0.38470364488367603
SH601006,naive,244,0.08043193093236814,0.213326011058716,0.12153964683637997,-8.009771477826648,0.19298534775087162
SH601009,naive,241,0.08310576309862511,0.2342221349201381,0.10485018614108599,-7.9779165009176785,0.11179703578983435
SH601018,naive,244,0.15539216952603724,0.3127192369091861,0.08910896409308455,-7.541803817037847,0.05612924463114222
SH601088,naive,180,0.15611246552766797,0.2833128190586252,0.0954787540183859,-7.400812722000953,0.08022148665153317
SH601099,naive,234,0.1211167903883256,0.27202081621171575,-0.7232761261232084,-7.937385723135673,-0.5928258454189317
SH601111,naive,243,0.09664695694166021,0.24590332110449128,0.4806893980530531,-7.015851039168353,0.4698123716435898
SH601117,naive,139,0.0874884468151961,0.21908386541973449,-0.17035858245422641,-7.348770211863821,0.01609799705162207
SH601118,naive,239,0.111930950257217,0.2601156260649128,-0.5570790863614861,-7.161071430456061,-0.530127949915761
SH601166,naive,243,0.09587305662984284,0.2405433571587997,-0.06881643419797179,-8.504582142260471,-0.08822103156628103
SH601169,naive,235,0.10687402860860028,0.264172630810313,0.08860434611493873,-8.462563112474875,0.07748922484322784
