metric,baseline,n,focus_median,baseline_median,win_rate,p_raw,p_holm
mse,egarch,120,0.13366100090209024,0.1588016127380057,0.9,2.459767521413352e-18,9.839070085653407e-18
mse,ewma,120,0.13366100090209024,0.15712107936498895,0.9333333333333333,2.641516905852572e-19,1.584910143511543e-18
mse,garch,120,0.13366100090209024,0.1557323074235352,0.9416666666666667,3.6840739749961544e-19,1.8420369874980772e-18
mse,har,120,0.13366100090209024,0.14315668257408143,0.8166666666666667,2.0975418819226472e-11,4.1950837638452945e-11
mse,har_pooled,120,0.13366100090209024,0.14474447403142135,0.825,4.381678038627094e-12,1.3145034115881283e-11
mse,har_x,120,0.13366100090209024,0.14213089994566946,0.8083333333333333,7.621383659735188e-11,7.621383659735188e-11
mse,naive,120,0.13366100090209024,0.18851968711383582,0.975,3.2575834428326704e-21,2.2803084099828693e-20
mae,egarch,120,0.24836800078166904,0.2766476369303814,0.8666666666666667,7.865850039296506e-17,3.1463400157186024e-16
mae,ewma,120,0.24836800078166904,0.2752626207366198,0.95,2.0811515425342044e-19,1.456806079773943e-18
mae,garch,120,0.24836800078166904,0.27308542484811066,0.95,4.559323372699141e-19,2.7355940236194848e-18
mae,har,120,0.24836800078166904,0.25547052145496896,0.825,9.494854832280892e-10,1.7780937184229992e-09
mae,har_pooled,120,0.24836800078166904,0.2593328497086544,0.8333333333333334,2.1793556069401952e-10,6.538066820820586e-10
mae,har_x,120,0.24836800078166904,0.2558776948563579,0.8166666666666667,8.890468592114996e-10,1.7780937184229992e-09
mae,naive,120,0.24836800078166904,0.2813981697754031,0.9333333333333333,5.131286725728172e-19,2.7355940236194848e-18
r2,egarch,120,0.2921628442764329,0.17079343357203916,0.9,1.196947177845607e-17,4.787788711382428e-17
r2,ewma,120,0.2921628442764329,0.16157352232353528,0.9333333333333333,1.0888534303105572e-18,5.444267151552786e-18
r2,garch,120,0.2921628442764329,0.16623529932040895,0.9416666666666667,3.2718726186993505e-19,1.9631235712196102e-18
r2,har,120,0.2921628442764329,0.2431368238111618,0.8166666666666667,1.0063919331280549e-10,2.0127838662561098e-10
r2,har_pooled,120,0.2921628442764329,0.24732865719251024,0.825,2.213319367611264e-11,6.639958102833792e-11
r2,har_x,120,0.2921628442764329,0.25275321289477376,0.8083333333333333,3.21779315345016e-10,3.21779315345016e-10
r2,naive,120,0.2921628442764329,0.029848710472209952,0.975,2.7335681977982185e-21,1.913497738458753e-20
qlike,egarch,120,-7.187189431382967,-7.186338526402637,0.6416666666666667,2.1914656423608604e-06,2.1914656423608604e-06
qlike,ewma,120,-7.187189431382967,-7.180268849091739,0.8,1.243939032659e-11,3.731817097977e-11
qlike,garch,120,-7.187189431382967,-7.170059065960361,0.7666666666666667,1.0239722618078047e-10,2.0479445236156094e-10
qlike,har,120,-7.187189431382967,-7.020812164611218,0.875,1.0136498149133918e-19,5.068249074566959e-19
qlike,har_pooled,120,-7.187189431382967,-7.020665118414798,0.925,1.480854971708007e-20,8.885129830248042e-20
qlike,har_x,120,-7.187189431382967,-7.049100657142608,0.8583333333333333,4.1475029071668437e-19,1.6590011628667375e-18
qlike,naive,120,-7.187189431382967,-6.406208449959941,0.9916666666666667,2.022200629440464e-21,1.415540440608325e-20
