metric,baseline,n,focus_median,baseline_median,win_rate,p_raw,p_holm
mse,egarch,120,0.13366100090209024,0.15878189113429075,0.9,1.2239136922946296e-18,8.567395846062407e-18
mse,ewma,120,0.13366100090209024,0.1578984784841955,0.9333333333333333,1.7605312333012108e-19,1.5844781099710897e-18
mse,garch,120,0.13366100090209024,0.16074553146640413,0.95,2.0811515425342044e-19,1.6649212340273635e-18
mse,gru32,120,0.13366100090209024,0.13660078786193092,0.6,0.006770824851791568,0.006770824851791568
mse,har,120,0.13366100090209024,0.14315668257408143,0.8166666666666667,2.0975418819226472e-11,1.0487709409613237e-10
mse,har_pooled,120,0.13366100090209024,0.14474447403142135,0.825,4.381678038627094e-12,2.6290068231762567e-11
mse,har_x,120,0.13366100090209024,0.14213089994566946,0.8083333333333333,7.621383659735188e-11,3.0485534638940754e-10
mse,lstm32,120,0.13366100090209024,0.1390557108243588,0.75,3.231602050548282e-07,9.694806151644848e-07
mse,lstm4,120,0.13366100090209024,0.13636211557557726,0.675,0.0003367789491600624,0.0006735578983201248
mse,naive,120,0.13366100090209024,0.18851968711383582,0.975,3.2575834428326704e-21,3.2575834428326706e-20
mae,egarch,120,0.24836800078166904,0.27909624359681406,0.8666666666666667,1.8820890321921283e-17,1.3174623225344898e-16
mae,ewma,120,0.24836800078166904,0.27729654203334886,0.9416666666666667,1.4190959711738478e-19,1.4190959711738478e-18
mae,garch,120,0.24836800078166904,0.2733568806241999,0.95,3.3504926239389877e-19,3.015443361545089e-18
mae,gru32,120,0.24836800078166904,0.24719598615530655,0.5833333333333334,0.15807647991750762,0.2878503732808964
mae,har,120,0.24836800078166904,0.25547052145496896,0.825,9.494854832280892e-10,4.445234296057498e-09
mae,har_pooled,120,0.24836800078166904,0.2593328497086544,0.8333333333333334,2.1793556069401952e-10,1.3076133641641172e-09
mae,har_x,120,0.24836800078166904,0.2558776948563579,0.8166666666666667,8.890468592114996e-10,4.445234296057498e-09
mae,lstm32,120,0.24836800078166904,0.2510182103995581,0.7833333333333333,2.8334470875005665e-06,8.5003412625017e-06
mae,lstm4,120,0.24836800078166904,0.2472721301881538,0.625,0.1439251866404482,0.2878503732808964
mae,naive,120,0.24836800078166904,0.2813981697754031,0.9333333333333333,5.131286725728172e-19,4.105029380582538e-18
r2,egarch,120,0.2921628442764329,0.1594703685577484,0.9,4.586262104023129e-18,3.2103834728161903e-17
r2,ewma,120,0.2921628442764329,0.15405023244191945,0.9333333333333333,5.639414369849036e-19,4.511531495879229e-18
r2,garch,120,0.2921628442764329,0.1551545317743322,0.95,2.518645302549518e-19,2.266780772294566e-18
r2,gru32,120,0.2921628442764329,0.29001179746668215,0.6,0.02104235381882499,0.02104235381882499
r2,har,120,0.2921628442764329,0.2431368238111618,0.8166666666666667,1.0063919331280549e-10,5.031959665640274e-10
r2,har_pooled,120,0.2921628442764329,0.24732865719251024,0.825,2.213319367611264e-11,1.3279916205667585e-10
r2,har_x,120,0.2921628442764329,0.25275321289477376,0.8083333333333333,3.21779315345016e-10,1.287117261380064e-09
r2,lstm32,120,0.2921628442764329,0.27570379941815815,0.75,8.850313900374229e-07,2.6550941701122687e-06
r2,lstm4,120,0.2921628442764329,0.2847829629713509,0.675,0.00015579419255225176,0.00031158838510450353
r2,naive,120,0.2921628442764329,0.029848710472209952,0.975,2.7335681977982185e-21,2.7335681977982185e-20
qlike,egarch,120,-7.187189431382967,-7.18250100576549,0.675,7.84489056057883e-07,1.568978112115766e-06
qlike,ewma,120,-7.187189431382967,-7.178524820975483,0.7916666666666666,3.379759665859e-12,1.6898798329294998e-11
qlike,garch,120,-7.187189431382967,-7.168107463605891,0.7916666666666666,1.5176027702954942e-11,6.070411081181977e-11
qlike,gru32,120,-7.187189431382967,-7.168746436402817,0.65,5.227927753166004e-07,1.5683783259498013e-06
qlike,har,120,-7.187189431382967,-7.020812164611218,0.875,1.0136498149133918e-19,8.109198519307134e-19
qlike,har_pooled,120,-7.187189431382967,-7.020665118414798,0.925,1.480854971708007e-20,1.3327694745372062e-19
qlike,har_x,120,-7.187189431382967,-7.049100657142608,0.8583333333333333,4.1475029071668437e-19,2.9032520350167908e-18
qlike,lstm32,120,-7.187189431382967,-7.14835690371992,0.7333333333333333,5.291182389562221e-13,3.1747094337373327e-12
qlike,lstm4,120,-7.187189431382967,-7.17683080084889,0.7,9.58834527113135e-07,1.568978112115766e-06
qlike,naive,120,-7.187189431382967,-6.406208449959941,0.9916666666666667,2.022200629440464e-21,2.0222006294404642e-20
