stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600000,naive,,,,,,,,,,,,,
SH600000,har,0.17369182307277692,0.3919758025628819,0.3265480650606108,-0.5003818325896974,,,,,,,,,
SH600000,har_x,,,,,,,,,,,,,
SH600000,ewma,,,,,-1.0891795871744943,0.7997784879368056,True,,,,,,
SH600000,garch,,,,,-0.7217101786030717,0.8952892774974424,True,0.9999999999676554,0.011830105820064494,,,,
SH600000,egarch,,,,,-0.7114611913609781,0.9103682898593463,True,0.9481931043717653,0.012688037733714581,,,,
SH600009,naive,,,,,,,,,,,,,
SH600009,har,0.1104078796611825,0.36151516435775966,0.4432146321846153,-0.36379924354601195,,,,,,,,,
SH600009,har_x,,,,,,,,,,,,,
SH600009,ewma,,,,,-0.925767083380912,0.8163717361971939,True,,,,,,
SH600009,garch,,,,,-0.6075338057848322,0.9054389235944275,True,1.0,0.01974444777031418,,,,
SH600009,egarch,,,,,-0.5284723504054619,0.9274858612775617,True,0.9884658740788258,0.020091389975993294,,,,
SH600010,naive,,,,,,,,,,,,,
SH600010,har,0.16611774807863,0.37629273150080084,0.3319681300024071,-0.5269726631824161,,,,,,,,,
SH600010,har_x,,,,,,,,,,,,,
SH600010,ewma,,,,,-1.051508753431246,0.7910888791600972,True,,,,,,
SH600010,garch,,,,,-0.7063501192705411,0.8907988839816302,True,0.9971594952356947,0.017818387667312984,,,,
SH600010,egarch,,,,,-0.7464008730471837,0.8828035528037523,True,0.9912044872635651,0.018505231777409207,,,,
SH600015,naive,,,,,,,,,,,,,
SH600015,har,0.15940387028826486,0.32806990698702565,0.3990855337823108,-0.529129016559556,,,,,,,,,
SH600015,har_x,,,,,,,,,,,,,
SH600015,ewma,,,,,-0.9743455144201694,0.8385545555601753,True,,,,,,
SH600015,garch,,,,,-0.5388762048110913,0.9484850111713334,True,0.993465772496712,0.01112864801669335,,,,
SH600015,egarch,,,,,-0.5268555263122655,0.9502005940287928,True,0.9906143079353268,0.011049582307629414,,,,
SH600016,naive,,,,,,,,,,,,,
SH600016,har,0.22739028282542126,0.3082112482610679,0.3120206474237875,-0.7171271842001167,,,,,,,,,
SH600016,har_x,,,,,,,,,,,,,
SH600016,ewma,,,,,-1.251721561304672,0.7729938482135987,True,,,,,,
SH600016,garch,,,,,-0.7860081895831904,0.8939852466516747,True,1.000000000000027,0.010748558555040349,,,,
SH600016,egarch,,,,,-0.5937386457928134,0.9410503674862757,True,0.9845284681508973,0.011257317783413465,,,,
SH600018,naive,,,,,,,,,,,,,
SH600018,har,0.18938731737996542,0.4596465300670516,0.20380395064799564,-0.6261193527763268,,,,,,,,,
SH600018,har_x,,,,,,,,,,,,,
SH600018,ewma,,,,,-1.3193640007122756,0.732504643689668,True,,,,,,
SH600018,garch,,,,,-0.01319532746290605,1.0938884720455697,True,0.9740646220976901,0.018614471162802782,,,,
SH600018,egarch,,,,,0.02077848455262237,1.1065361097045652,True,0.9634727497049494,0.019604308674163188,,,,
SH600028,naive,,,,,,,,,,,,,
SH600028,har,0.17982371295136076,0.42332924929757554,0.2427109991991304,-0.6961930148693701,,,,,,,,,
SH600028,har_x,,,,,,,,,,,,,
