metric,baseline,n,focus_median,baseline_median,win_rate,p_raw,p_holm
mse,egarch,120,0.13853694089027202,0.1596890737916118,0.875,4.719781929616732e-17,3.3038473507317123e-16
mse,ewma,120,0.13853694089027202,0.15652084602943345,0.9083333333333333,1.5455847212990522e-18,1.391026249169147e-17
mse,garch,120,0.13853694089027202,0.1555938013851243,0.9083333333333333,5.385861924774333e-18,4.308689539819466e-17
mse,gru32,120,0.13853694089027202,0.1369665442137586,0.4583333333333333,0.12105261319322214,0.3631578395796664
mse,har,120,0.13853694089027202,0.14316517924424885,0.8333333333333334,5.7617424406569814e-11,2.8808712203284906e-10
mse,har_pooled,120,0.13853694089027202,0.1446988335457918,0.8583333333333333,3.84888348319311e-12,2.309330089915866e-11
mse,har_x,120,0.13853694089027202,0.14203804817419344,0.825,3.620404075994924e-10,1.4481616303979695e-09
mse,lstm32,120,0.13853694089027202,0.13678120121660087,0.475,0.36210232657007013,0.7242046531401403
mse,lstm4,120,0.13853694089027202,0.1375162436473023,0.5416666666666666,0.8710145850606531,0.8710145850606531
mse,naive,120,0.13853694089027202,0.18851968711383582,0.9833333333333333,3.600426320480916e-21,3.600426320480916e-20
mae,egarch,120,0.25354716227170626,0.2768215747183089,0.8166666666666667,7.066856926340089e-15,4.9467998484380624e-14
mae,ewma,120,0.25354716227170626,0.27557996714557415,0.875,3.3998100440408748e-18,3.059829039636787e-17
mae,garch,120,0.25354716227170626,0.273708222432823,0.8916666666666667,7.525205530171995e-17,6.020164424137596e-16
mae,gru32,120,0.25354716227170626,0.24780301120352866,0.2916666666666667,1.1370993602877763e-09,6.822596161726658e-09
mae,har,120,0.25354716227170626,0.2554372633091261,0.775,1.696186445235248e-07,3.392372890470496e-07
mae,har_pooled,120,0.25354716227170626,0.25922708469602224,0.8166666666666667,1.3861629416351431e-08,5.5446517665405725e-08
mae,har_x,120,0.25354716227170626,0.25565516561522583,0.7583333333333333,5.299642742847283e-07,5.299642742847283e-07
mae,lstm32,120,0.25354716227170626,0.24580163750238834,0.2833333333333333,2.949986330588987e-09,1.4749931652944935e-08
mae,lstm4,120,0.25354716227170626,0.24657322206709248,0.375,8.65229447814329e-08,2.595688343442987e-07
mae,naive,120,0.25354716227170626,0.2813981697754031,0.9333333333333333,1.343763735230351e-18,1.3437637352303509e-17
r2,egarch,120,0.28115971687594066,0.16746487921168507,0.875,1.4261447658540445e-16,9.983013360978311e-16
r2,ewma,120,0.28115971687594066,0.162594587233436,0.9083333333333333,2.892320669469565e-18,2.3187395148589484e-17
r2,garch,120,0.28115971687594066,0.16537306722745415,0.9083333333333333,2.576377238732165e-18,2.3187395148589484e-17
r2,gru32,120,0.28115971687594066,0.29074508102320173,0.4583333333333333,0.08532397851473082,0.25597193554419245
r2,har,120,0.28115971687594066,0.242708133688797,0.8333333333333334,5.593390863764429e-10,2.7966954318822145e-09
r2,har_pooled,120,0.28115971687594066,0.24754036340140478,0.8583333333333333,2.293956165511367e-11,1.3763736993068203e-10
r2,har_x,120,0.28115971687594066,0.25207604620207347,0.825,2.767390876228742e-09,1.1069563504914967e-08
r2,lstm32,120,0.28115971687594066,0.2882988770678089,0.475,0.25790719684258046,0.5158143936851609
r2,lstm4,120,0.28115971687594066,0.2833408102991425,0.5416666666666666,0.9311304181163833,0.9311304181163833
r2,naive,120,0.28115971687594066,0.029848710472209952,0.9833333333333333,2.947067023322902e-21,2.947067023322902e-20
qlike,egarch,120,-7.156127958156885,-7.186079041875548,0.4166666666666667,0.06297087812989455,0.18891263438968364
qlike,ewma,120,-7.156127958156885,-7.180685276508136,0.4583333333333333,0.3718387708694876,0.7269667675567131
qlike,garch,120,-7.156127958156885,-7.171184961353376,0.475,0.36348338377835654,0.7269667675567131
qlike,gru32,120,-7.156127958156885,-7.176515491082247,0.2,2.533487872316063e-13,1.5200927233896377e-12
qlike,har,120,-7.156127958156885,-7.022456186442592,0.825,3.4791457977008665e-18,2.783316638160693e-17
qlike,har_pooled,120,-7.156127958156885,-7.0203405370708545,0.9333333333333333,1.8935315665832375e-20,1.7041784099249138e-19
qlike,har_x,120,-7.156127958156885,-7.050100480943566,0.775,2.3583476562416505e-16,1.6508433593691554e-15
qlike,lstm32,120,-7.156127958156885,-7.16951519583905,0.31666666666666665,2.3784471002271142e-07,9.513788400908457e-07
qlike,lstm4,120,-7.156127958156885,-7.178832717634551,0.25,3.326934458528401e-13,1.6634672292642007e-12
qlike,naive,120,-7.156127958156885,-6.406208449959941,0.9916666666666667,2.1265290935995473e-21,2.1265290935995473e-20
