stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600000,naive,,,,,,,,,,,,,
SH600000,har,0.1734357449123704,0.39045668607459666,0.327126029132329,-0.5050477962041314,,,,,,,,,
SH600000,har_x,,,,,,,,,,,,,
SH600000,ewma,,,,,-1.0964027481541267,0.7977902700957883,True,,,,,,
SH600000,garch,,,,,-0.708287617635395,0.8992563888514897,True,1.0000000000246292,0.012314559991975612,,,,
SH600000,egarch,,,,,-0.669128195072627,0.9209366164855763,True,0.9474175317758321,0.013329994598186488,,,,
SH600009,naive,,,,,,,,,,,,,
SH600009,har,0.11044786107536866,0.361747770409156,0.4429362673843827,-0.3637385301164336,,,,,,,,,
SH600009,har_x,,,,,,,,,,,,,
SH600009,ewma,,,,,-0.924573267347697,0.8164966528753658,True,,,,,,
SH600009,garch,,,,,-0.6060725365811039,0.9058336266649706,True,1.0000000000000036,0.02046611527793934,,,,
SH600009,egarch,,,,,-0.5281343006316201,0.9278079201174239,True,0.9886029350366462,0.020820239594936216,,,,
SH600010,naive,,,,,,,,,,,,,
SH600010,har,0.16684162977385117,0.3774166785380058,0.3281321744545197,-0.5334976565322128,,,,,,,,,
SH600010,har_x,,,,,,,,,,,,,
SH600010,ewma,,,,,-1.0559255919298536,0.7894696269180856,True,,,,,,
SH600010,garch,,,,,-0.730136203171241,0.8834086907350011,True,0.997461747125165,0.017821130474348024,,,,
SH600010,egarch,,,,,-0.7690172379001169,0.8758148831352247,True,0.9912721946603613,0.01837116609933408,,,,
SH600015,naive,,,,,,,,,,,,,
SH600015,har,0.15858852424198547,0.32721753248998103,0.3971542922171264,-0.5432938706256725,,,,,,,,,
SH600015,har_x,,,,,,,,,,,,,
SH600015,ewma,,,,,-0.989252697505013,0.8346113443812491,True,,,,,,
SH600015,garch,,,,,-0.5476353447392782,0.946226389390688,True,0.9934058408319673,0.01162638688755368,,,,
SH600015,egarch,,,,,-0.5321856967664667,0.9487950792716988,True,0.9903541028993225,0.011467320892028536,,,,
SH600016,naive,,,,,,,,,,,,,
SH600016,har,0.23009082634828096,0.30416737056102683,0.3136690755119286,-0.7147169875634609,,,,,,,,,
SH600016,har_x,,,,,,,,,,,,,
SH600016,ewma,,,,,-1.252014361077809,0.7726699341030883,True,,,,,,
SH600016,garch,,,,,-0.7820858751005442,0.8950274596880354,True,0.9999999999998489,0.011224356329918063,,,,
SH600016,egarch,,,,,-0.5931728596708447,0.9416913511717285,True,0.9845041563881592,0.011770115963320602,,,,
SH600018,naive,,,,,,,,,,,,,
SH600018,har,0.19212926716191284,0.45435173160118747,0.2065481367472226,-0.6263791876568859,,,,,,,,,
SH600018,har_x,,,,,,,,,,,,,
SH600018,ewma,,,,,-1.3217532334462399,0.7321225829447855,True,,,,,,
SH600018,garch,,,,,-0.014290811627593925,1.0936712210495372,True,0.9736308788264003,0.018082612293256743,,,,
SH600018,egarch,,,,,0.01667448360245255,1.1056043882680744,True,0.9632554992489172,0.018875695075470954,,,,
SH600028,naive,,,,,,,,,,,,,
SH600028,har,0.1757313412552785,0.41716449029690783,0.26254182929624287,-0.6589399898350444,,,,,,,,,
SH600028,har_x,,,,,,,,,,,,,
SH600028,ewma,,,,,-1.4395873415608393,0.7133024800174242,True,,,,,,
SH600028,garch,,,,,-1.200895049677418,0.7743236842796357,True,1.0,0.013210233101286401,,,,
SH600028,egarch,,,,,-1.1621374524695804,0.7851668324388382,True,0.9951356189044207,0.013684287273067485,,,,
SH600029,naive,,,,,,,,,,,,,
SH600029,har,0.10634305304936917,0.3901583524880829,0.37516921954140764,-0.4976362553254895,,,,,,,,,
SH600029,har_x,,,,,,,,,,,,,
SH600029,ewma,,,,,-1.2426540744443613,0.7170906785177918,True,,,,,,
SH600029,garch,,,,,-0.9796735709122041,0.8017725104236715,True,0.9979608934119528,0.023637114493469582,,,,
SH600029,egarch,,,,,-0.8856864604845796,0.8256393914149105,True,0.9956887567639353,0.022147686827197758,,,,
SH600030,naive,,,,,,,,,,,,,
SH600030,har,0.1147096189569315,0.33932808631241773,0.45891888353098864,-0.3762605162910257,,,,,,,,,
SH600030,har_x,,,,,,,,,,,,,
SH600030,ewma,,,,,-1.1954212016135295,0.7588366357677755,True,,,,,,
SH600030,garch,,,,,-0.9171870296276595,0.8421373068742084,True,1.0000000000382498,0.021019231748489065,,,,
SH600030,egarch,,,,,-1.0003495493238628,0.8216999425746896,True,0.9945113386344301,0.021188546346507253,,,,
SH600031,naive,,,,,,,,,,,,,
SH600031,har,0.1149932728534857,0.2199844962327751,0.5286034237905874,-0.5530164536602523,,,,,,,,,
SH600031,har_x,,,,,,,,,,,,,
SH600031,ewma,,,,,-1.6139491180702186,0.6413362941409275,True,,,,,,
SH600031,garch,,,,,-1.1852273439544185,0.7651669449401632,True,0.99361584275288,0.0210913989003422,,,,
SH600031,egarch,,,,,-1.0937674355443319,0.790835542050152,True,0.9905641433971246,0.021800193854194055,,,,
SH600036,naive,,,,,,,,,,,,,
SH600036,har,0.09094218569482017,0.25102714525860953,0.5014637067187164,-0.6872815936971274,,,,,,,,,
SH600036,har_x,,,,,,,,,,,,,
SH600036,ewma,,,,,-1.2623385815517818,0.7445970715705641,True,,,,,,
SH600036,garch,,,,,-0.6205436346458761,0.912742689553203,True,0.993280923142045,0.01723701919388273,,,,
SH600036,egarch,,,,,-0.4660043510404049,0.9521211707009937,True,0.9837496117810371,0.017583357894276758,,,,
SH600038,naive,,,,,,,,,,,,,
SH600038,har,0.08426377200203523,0.39242419320548305,0.37563241473375714,-0.5752185872716327,,,,,,,,,
SH600038,har_x,,,,,,,,,,,,,
SH600038,ewma,,,,,-0.9483807348659999,0.7967158728781271,True,,,,,,
SH600038,garch,,,,,-0.32557643019706567,0.9740941955141191,True,0.9817695919170422,0.022746808215070375,,,,
SH600038,egarch,,,,,-0.4427405327697269,0.9443219955355049,True,0.9826391348779445,0.023397941133001757,,,,
SH600048,naive,,,,,,,,,,,,,
SH600048,har,0.14717567147521338,0.5148721732653735,0.17224772540195593,-0.6795997421704746,,,,,,,,,
SH600048,har_x,,,,,,,,,,,,,
SH600048,ewma,,,,,-1.2841686981354459,0.7316221322627041,True,,,,,,
SH600048,garch,,,,,-0.7080934597204182,0.9001539603799101,True,0.9948818603280506,0.022777466829187132,,,,
SH600048,egarch,,,,,-0.8063128026185045,0.8733887786457618,True,0.9766633763199812,0.02368769296723581,,,,
SH600066,naive,,,,,,,,,,,,,
SH600066,har,0.0649308534639879,0.24691470985191424,0.5738759249783452,-0.48607722646615487,,,,,,,,,
SH600066,har_x,,,,,,,,,,,,,
SH600066,ewma,,,,,-0.8197936087130535,0.8410467088656056,True,,,,,,
SH600066,garch,,,,,-0.020236476203897277,1.053319965145833,True,0.9909267543200937,0.019461692478584074,,,,
SH600066,egarch,,,,,-0.22896003038988996,1.000640834452403,True,0.9922858062656174,0.019615467957294148,,,,
SH600068,naive,,,,,,,,,,,,,
SH600068,har,0.13636565261037642,0.3588907054523145,0.3242088290136286,-0.7178259058732737,,,,,,,,,
SH600068,har_x,,,,,,,,,,,,,
SH600068,ewma,,,,,-1.0721334405482252,0.7816624767601504,True,,,,,,
SH600068,garch,,,,,-0.36468446874090166,0.9832060863089243,True,0.984672682329188,0.022739410585450898,,,,
SH600068,egarch,,,,,-0.44178076545483147,0.9623973492154319,True,0.9902626942402797,0.02229858624764419,,,,
SH600085,naive,,,,,,,,,,,,,
SH600085,har,0.10258773560118288,0.4684980845644772,0.32042739456181335,-0.46343999535379826,,,,,,,,,
SH600085,har_x,,,,,,,,,,,,,
SH600085,ewma,,,,,-1.2354486433208116,0.7599304201727584,True,,,,,,
SH600085,garch,,,,,-0.7839153144797568,0.8877854553150677,True,1.0000000000080453,0.017074461989940594,,,,
SH600085,egarch,,,,,-0.7810030389719285,0.8860520127272375,True,0.9877014878783429,0.017022363682709755,,,,
SH600089,naive,,,,,,,,,,,,,
SH600089,har,0.0952652451047657,0.47487865687361225,0.26237995076243825,-0.7155435388369064,,,,,,,,,
SH600089,har_x,,,,,,,,,,,,,
SH600089,ewma,,,,,-1.4182899017358175,0.7140026984945507,True,,,,,,
SH600089,garch,,,,,-0.9701740202623628,0.8393633880391155,True,0.9950226561366666,0.01733515420982445,,,,
SH600089,egarch,,,,,-1.118185854756671,0.8016066239703541,True,1.0,0.016412897126060436,,,,
SH600104,naive,,,,,,,,,,,,,
SH600104,har,0.08370777246721023,0.4239078993975801,0.23593926712246638,-1.1007309329460453,,,,,,,,,
SH600104,har_x,,,,,,,,,,,,,
SH600104,ewma,,,,,-1.8493936578799701,0.6039508379007631,True,,,,,,
SH600104,garch,,,,,-1.1099656511434062,0.798816516111293,True,0.9815225916861232,0.018088284908999087,,,,
SH600104,egarch,,,,,-0.8550377349320823,0.8683238246364636,True,0.9747324285911605,0.019012754597004432,,,,
SH600109,naive,,,,,,,,,,,,,
SH600109,har,0.08539933204799294,0.20507950479530312,0.6168502038312633,-0.38683676800039807,,,,,,,,,
SH600109,har_x,,,,,,,,,,,,,
SH600109,ewma,,,,,-1.1441301555414176,0.7639663268907096,True,,,,,,
SH600109,garch,,,,,-0.8405248571113634,0.8462392720703213,True,0.9945158686812431,0.022361817538030883,,,,
SH600109,egarch,,,,,-0.9666573712056247,0.8146720860541345,True,0.9965519380433865,0.0221197206563365,,,,
SH600111,naive,,,,,,,,,,,,,
SH600111,har,0.12524868133043635,0.4369882519100185,0.3234214644302114,-0.45397079328486717,,,,,,,,,
SH600111,har_x,,,,,,,,,,,,,
SH600111,ewma,,,,,-0.9047588742346095,0.8167369536651752,True,,,,,,
SH600111,garch,,,,,-0.3453902390578233,0.9881112637995884,True,0.9964768492008667,0.02373051033375747,,,,
SH600111,egarch,,,,,-0.29340761617922223,1.0000620622368213,True,0.9822487052828717,0.023215179100546917,,,,
SH600115,naive,,,,,,,,,,,,,
SH600115,har,0.14155172787585935,0.3109336502329547,0.4351732848020544,-0.45291768308857366,,,,,,,,,
SH600115,har_x,,,,,,,,,,,,,
SH600115,ewma,,,,,-1.1905622021617894,0.7448687947958037,True,,,,,,
SH600115,garch,,,,,-0.8702894742792365,0.8435610905326771,True,0.9995317720184823,0.022138979041286033,,,,
SH600115,egarch,,,,,-0.7617753469286304,0.8710942254067191,True,0.9872698376970609,0.02254829974006405,,,,
SH600118,naive,,,,,,,,,,,,,
SH600118,har,0.050033728641890214,0.24937575210080554,0.6116153759044816,-0.3775359965470837,,,,,,,,,
SH600118,har_x,,,,,,,,,,,,,
SH600118,ewma,,,,,-0.8011576864582225,0.8629454369417187,True,,,,,,
SH600118,garch,,,,,-0.30290615401380094,1.003778302900392,True,0.9894886713594598,0.02019797806825268,,,,
SH600118,egarch,,,,,-0.387990642236814,0.9838700190603467,True,0.9873397692779,0.020886995381412143,,,,
SH600170,naive,,,,,,,,,,,,,
SH600170,har,0.12488024522899373,0.3563989075174873,0.4292064834696717,-0.4025040589013218,,,,,,,,,
SH600170,har_x,,,,,,,,,,,,,
SH600170,ewma,,,,,-1.0883986007729813,0.7944684965255396,True,,,,,,
SH600170,garch,,,,,-0.8781528095203642,0.8530960779332065,True,1.0000000000001035,0.014246381955557113,,,,
SH600170,egarch,,,,,-0.8184538427796197,0.8701532162725539,True,0.9932465044544857,0.014439454915254925,,,,
SH600177,naive,,,,,,,,,,,,,
SH600177,har,0.09001173193979205,0.3111675336505849,0.5270068080887008,-0.3395588320936286,,,,,,,,,
SH600177,har_x,,,,,,,,,,,,,
SH600177,ewma,,,,,-1.1607860631388616,0.7993567452965391,True,,,,,,
SH600177,garch,,,,,-1.000508580731072,0.8398465372288239,True,0.9999999999999994,0.013166614185164401,,,,
SH600177,egarch,,,,,-1.0588666285943147,0.8286215714469057,True,0.9967590059036113,0.013298175051803363,,,,
SH600188,naive,,,,,,,,,,,,,
SH600188,har,0.10194545657382992,0.4574010427206327,0.25438848330109187,-0.7009557658517951,,,,,,,,,
SH600188,har_x,,,,,,,,,,,,,
SH600188,ewma,,,,,-1.2864338927755612,0.6980873532734804,True,,,,,,
SH600188,garch,,,,,-0.8948085609045624,0.8228077841380389,True,0.9953864151591054,0.025843495391344083,,,,
SH600188,egarch,,,,,-0.7690618477540054,0.8587310374185427,True,0.9888979737982927,0.025683435734175322,,,,
SH600196,naive,,,,,,,,,,,,,
SH600196,har,0.020268703040775254,0.4121735445592947,0.4356292489969561,-0.5415294314905669,,,,,,,,,
SH600196,har_x,,,,,,,,,,,,,
SH600196,ewma,,,,,-1.4272326793011059,0.6855065631996643,True,,,,,,
SH600196,garch,,,,,-1.0767783928127068,0.7897899365234771,True,0.9975565485544028,0.02417535483304912,,,,
SH600196,egarch,,,,,-1.230726430650176,0.7486017403570187,True,0.9975953508755437,0.024719007456253952,,,,
SH600208,naive,,,,,,,,,,,,,
SH600208,har,0.11267362742668757,0.1255235292169168,0.5758993543201568,-0.7708352854710161,,,,,,,,,
SH600208,har_x,,,,,,,,,,,,,
SH600208,ewma,,,,,-1.3057271167483209,0.7284130654321062,True,,,,,,
SH600208,garch,,,,,-0.8852808775946868,0.8526109828652696,True,0.9885897193220523,0.020763725994840727,,,,
SH600208,egarch,,,,,-0.8374767157324506,0.8682885465654336,True,0.9622261732780522,0.02150710816011515,,,,
SH600276,naive,,,,,,,,,,,,,
SH600276,har,0.0728662559856947,0.3006086838598292,0.5045714592013669,-0.5234838823755972,,,,,,,,,
SH600276,har_x,,,,,,,,,,,,,
SH600276,ewma,,,,,-1.310618944392235,0.7201877083682089,True,,,,,,
SH600276,garch,,,,,-0.8979080061532894,0.8300583702752924,True,0.9924419489159708,0.019402898970771652,,,,
SH600276,egarch,,,,,-0.9242261075927635,0.8242635982470531,True,0.993166703760984,0.02004475808549629,,,,
SH600332,naive,,,,,,,,,,,,,
SH600332,har,0.049672104853036664,0.46086346118898047,0.35222017762756164,-0.5731683106875264,,,,,,,,,
SH600332,har_x,,,,,,,,,,,,,
SH600332,ewma,,,,,-1.4424694483546603,0.7023397090953468,True,,,,,,
SH600332,garch,,,,,-0.5885823420356752,0.9423981365302043,True,0.9860978914086859,0.021845127570694473,,,,
SH600332,egarch,,,,,-0.5461286606308612,0.9562904620887449,True,0.9793018466945916,0.02265325657790513,,,,
SH600340,naive,,,,,,,,,,,,,
SH600340,har,0.28027663226609467,0.04762025358134055,0.4723776478929776,-0.8285390625992352,,,,,,,,,
SH600340,har_x,,,,,,,,,,,,,
SH600340,ewma,,,,,-0.7712631155123623,0.876169090924866,True,,,,,,
SH600340,garch,,,,,-0.011008676110877295,1.0893402236946705,True,0.9873698744009041,0.02200059329073334,,,,
SH600340,egarch,,,,,-0.23703070579921043,1.0299084462099426,True,0.9862480602474926,0.022343554227456354,,,,
SH600352,naive,,,,,,,,,,,,,
SH600352,har,0.05856695484459157,0.47071276495537606,0.36267523210737995,-0.4502390984742319,,,,,,,,,
SH600352,har_x,,,,,,,,,,,,,
SH600352,ewma,,,,,-1.3330486082291388,0.7209670701924132,True,,,,,,
SH600352,garch,,,,,-1.1458150109134952,0.7775759228876754,True,0.9999999980303067,0.022613153711560093,,,,
SH600352,egarch,,,,,-1.2154007793842578,0.7625298817417288,True,0.998770151907839,0.023911016233088053,,,,
SH600362,naive,,,,,,,,,,,,,
SH600362,har,0.14318634259109103,0.48238318989391,0.195571323040208,-0.7064153562241217,,,,,,,,,
SH600362,har_x,,,,,,,,,,,,,
SH600362,ewma,,,,,-1.1253409641276317,0.7724539282555644,True,,,,,,
SH600362,garch,,,,,0.17525902751108793,1.1463291246410425,True,0.9607313303669167,0.022738272877368938,,,,
SH600362,egarch,,,,,0.00990963206278393,1.10013883473655,True,0.964120639961062,0.02274937763369099,,,,
SH600369,naive,,,,,,,,,,,,,
SH600369,har,0.10022705279372525,0.18962140277697478,0.6171340421991386,-0.40409581880751994,,,,,,,,,
SH600369,har_x,,,,,,,,,,,,,
SH600369,ewma,,,,,-0.9215216845720742,0.8329017131313493,True,,,,,,
SH600369,garch,,,,,-0.46660974489270063,0.9580102190500076,True,0.994722677940653,0.019577515922080208,,,,
SH600369,egarch,,,,,-0.5239109736860112,0.9468716495301414,True,0.9941709095974639,0.019760528139287664,,,,
SH600372,naive,,,,,,,,,,,,,
SH600372,har,0.1245642354372481,0.3049497384482416,0.49368336896455844,-0.30800883830760195,,,,,,,,,
SH600372,har_x,,,,,,,,,,,,,
SH600372,ewma,,,,,-0.8955412165689568,0.8186664449718509,True,,,,,,
SH600372,garch,,,,,-0.5583996476869837,0.9217501132883601,True,0.9965749496060055,0.022610171048359322,,,,
SH600372,egarch,,,,,-0.5066070219572772,0.9355868506254243,True,0.9849733061779462,0.022700757552090334,,,,
SH600383,naive,,,,,,,,,,,,,
SH600383,har,0.13598494088202337,0.546897341881257,0.13656427451303385,-0.7308962031801783,,,,,,,,,
SH600383,har_x,,,,,,,,,,,,,
SH600383,ewma,,,,,-1.4851334485428072,0.6760554758653687,True,,,,,,
SH600383,garch,,,,,-0.8583888787900321,0.8575201251482251,True,0.9915915209574899,0.021991204188553194,,,,
SH600383,egarch,,,,,-0.6469073857315865,0.9136142178326359,True,0.9658601843264156,0.02322126188774635,,,,
SH600489,naive,,,,,,,,,,,,,
SH600489,har,0.14988959021057183,0.4145999525652664,0.2950668959261305,-0.5822863513735564,,,,,,,,,
SH600489,har_x,,,,,,,,,,,,,
SH600489,ewma,,,,,-0.9280658978739325,0.8470745839784932,True,,,,,,
SH600489,garch,,,,,-0.6642294291088798,0.9292435034919657,True,0.9996963865742233,0.022073332761138,,,,
SH600489,egarch,,,,,-0.6120972501919483,0.9430060753043922,True,0.9776801599149871,0.02187196708770176,,,,
SH600519,naive,,,,,,,,,,,,,
SH600519,har,0.1443830979025746,0.2840211195436261,0.36500821854442334,-0.8964939786216467,,,,,,,,,
SH600519,har_x,,,,,,,,,,,,,
SH600519,ewma,,,,,-1.5216196036170757,0.7007623170260906,True,,,,,,
SH600519,garch,,,,,-0.8301994674684862,0.8867375070574858,True,0.9938955981841272,0.01967420263955673,,,,
SH600519,egarch,,,,,-0.6019220927425565,0.9456483881580111,True,0.9944288463971687,0.020414562124322827,,,,
SH600547,naive,,,,,,,,,,,,,
SH600547,har,0.1337024866809813,0.44620754156433756,0.2933275755349077,-0.5155184755165916,,,,,,,,,
SH600547,har_x,,,,,,,,,,,,,
SH600547,ewma,,,,,-0.9832759044742068,0.8385756106924804,True,,,,,,
SH600547,garch,,,,,-0.386007897557249,1.0203738864538983,True,0.987430765185642,0.025088336892744232,,,,
SH600547,egarch,,,,,-0.33817732961247265,1.0357667252748357,True,0.9684697459980757,0.025757279550642317,,,,
SH600570,naive,,,,,,,,,,,,,
SH600570,har,0.04570513431065337,0.2851530582810491,0.5744565352849763,-0.35737229336273046,,,,,,,,,
SH600570,har_x,,,,,,,,,,,,,
SH600570,ewma,,,,,-0.8669645638500272,0.8282184708597572,True,,,,,,
SH600570,garch,,,,,-0.20849067926360831,1.0333725945339807,True,0.9905831976751787,0.03071504287795833,,,,
SH600570,egarch,,,,,-0.4265992675498618,0.9672995991982916,True,0.9893230519954556,0.03025132824790273,,,,
SH600583,naive,,,,,,,,,,,,,
SH600583,har,0.14220305397285657,0.47167418362017727,0.28199508139171353,-0.44246316505292654,,,,,,,,,
SH600583,har_x,,,,,,,,,,,,,
SH600583,ewma,,,,,-0.9742009530746217,0.8233193275547271,True,,,,,,
