metric,baseline,n,focus_median,baseline_median,win_rate,p_raw,p_holm
mse,egarch,234,0.12832803705995494,0.1589482241133632,0.905982905982906,1.605465067242915e-33,1.1238255470700406e-32
mse,ewma,234,0.12832803705995494,0.1516593760393563,0.9188034188034188,1.1778746085233758e-34,9.422996868187006e-34
mse,garch,234,0.12832803705995494,0.1549440047231655,0.9358974358974359,1.2620307971359437e-35,1.1358277174223493e-34
mse,gru32,234,0.12832803705995494,0.13147625691973924,0.5256410256410257,0.26706402585542655,0.26706402585542655
mse,har,234,0.12832803705995494,0.1417711080699716,0.8333333333333334,1.2307693918568805e-24,6.1538469592844025e-24
mse,har_pooled,234,0.12832803705995494,0.14036200946900165,0.8162393162393162,9.492679873095223e-25,5.695607923857134e-24
mse,har_x,234,0.12832803705995494,0.14093204534952855,0.8376068376068376,3.337260269764244e-23,1.3349041079056977e-22
mse,lstm32,234,0.12832803705995494,0.1338771847856177,0.5683760683760684,0.07856562981672466,0.23569688945017397
mse,lstm4,234,0.12832803705995494,0.1324962715858671,0.5512820512820513,0.1009187170285976,0.23569688945017397
mse,naive,234,0.12832803705995494,0.18466554130478796,0.9829059829059829,1.6620382692587824e-39,1.6620382692587824e-38
mae,egarch,234,0.24736344143439354,0.2785252247596177,0.8717948717948718,4.5388207411492985e-33,3.177174518804509e-32
mae,ewma,234,0.24736344143439354,0.2749474489506212,0.9358974358974359,1.1726922691724231e-36,1.1726922691724231e-35
mae,garch,234,0.24736344143439354,0.27654431019422604,0.9273504273504274,1.4804658893041227e-36,1.3324193003737104e-35
mae,gru32,234,0.24736344143439354,0.24054862829556561,0.32905982905982906,3.414159828164479e-13,1.0242479484493437e-12
mae,har,234,0.24736344143439354,0.25509312281414387,0.811965811965812,7.752969008191888e-20,3.876484504095944e-19
mae,har_pooled,234,0.24736344143439354,0.25527456301462836,0.811965811965812,1.2610314601052728e-20,7.566188760631637e-20
mae,har_x,234,0.24736344143439354,0.2520841054870405,0.8247863247863247,3.3530225145184083e-19,1.3412090058073633e-18
mae,lstm32,234,0.24736344143439354,0.24106891201879754,0.32051282051282054,8.221728544326036e-10,8.221728544326036e-10
mae,lstm4,234,0.24736344143439354,0.24204972861725385,0.2948717948717949,5.3383148009724234e-11,1.0676629601944847e-10
mae,naive,234,0.24736344143439354,0.2767319964076447,0.9529914529914529,3.083689367360646e-36,2.466951493888517e-35
r2,egarch,234,0.28539167098433454,0.13722503591190635,0.905982905982906,3.5541291409390986e-33,2.487890398657369e-32
r2,ewma,234,0.28539167098433454,0.15836548623358715,0.9188034188034188,2.1609653644665176e-34,1.728772291573214e-33
r2,garch,234,0.28539167098433454,0.13674589622420294,0.9358974358974359,6.098083469406746e-36,5.488275122466071e-35
r2,gru32,234,0.28539167098433454,0.2866332019424038,0.5256410256410257,0.7513247562776061,0.8845500966762501
r2,har,234,0.28539167098433454,0.22709663796135954,0.8333333333333334,1.037523457084183e-22,6.225140742505098e-22
r2,har_pooled,234,0.28539167098433454,0.2397345119829323,0.8162393162393162,1.0474872713090011e-22,6.225140742505098e-22
r2,har_x,234,0.28539167098433454,0.23451156790651,0.8376068376068376,3.5686494335363734e-21,1.4274597734145494e-20
r2,lstm32,234,0.28539167098433454,0.28596187473165835,0.5683760683760684,0.44227504833812503,0.8845500966762501
r2,lstm4,234,0.28539167098433454,0.28245622888570165,0.5512820512820513,0.2678964367761184,0.8036893103283552
r2,naive,234,0.28539167098433454,0.0296571764672943,0.9829059829059829,8.659751171753068e-40,8.659751171753068e-39
qlike,egarch,234,-7.093954014045485,-7.080225181405126,0.688034188034188,1.6317099654251991e-12,6.5268398617007965e-12
qlike,ewma,234,-7.093954014045485,-7.086008621741504,0.7222222222222222,4.84747441347724e-16,2.42373720673862e-15
qlike,garch,234,-7.093954014045485,-7.0921463974418355,0.7692307692307693,4.14400432248466e-18,2.486402593490796e-17
qlike,gru32,234,-7.093954014045485,-7.105902397347752,0.43162393162393164,0.02047041595357447,0.04094083190714894
qlike,har,234,-7.093954014045485,-6.951585606396794,0.8632478632478633,2.798106184859624e-35,2.238484947887699e-34
qlike,har_pooled,234,-7.093954014045485,-6.983848210213223,0.8974358974358975,3.870590898233671e-37,3.483531808410304e-36
qlike,har_x,234,-7.093954014045485,-7.0033325513795095,0.8504273504273504,6.816571548797143e-33,4.7716000841580006e-32
qlike,lstm32,234,-7.093954014045485,-7.108838645828261,0.47435897435897434,0.04770592870916307,0.04770592870916307
qlike,lstm4,234,-7.093954014045485,-7.112060898345508,0.39316239316239315,3.977504283442853e-06,1.193251285032856e-05
qlike,naive,234,-7.093954014045485,-6.487670291260109,0.9914529914529915,8.33331548503292e-40,8.33331548503292e-39
