metric,baseline,n,focus_median,baseline_median,win_rate,p_raw,p_holm
mse,egarch,234,0.07905692530289166,0.10171741137016568,0.8888888888888888,5.158294049585449e-33,3.6108058347098143e-32
mse,ewma,234,0.07905692530289166,0.10309851127110486,0.9529914529914529,1.2018355122702668e-36,1.2018355122702669e-35
mse,garch,234,0.07905692530289166,0.102625371075392,0.9487179487179487,2.5992204587257386e-36,2.3392984128531648e-35
mse,gru32,234,0.07905692530289166,0.07598441766386643,0.3162393162393162,6.999619742205005e-11,1.6974589187526232e-10
mse,har,234,0.07905692530289166,0.08397353716869155,0.7777777777777778,3.6100407479775416e-17,1.4440162991910167e-16
mse,har_pooled,234,0.07905692530289166,0.08176341817686894,0.7905982905982906,1.7977454236991467e-18,1.0786472542194881e-17
mse,har_x,234,0.07905692530289166,0.08363215600733334,0.811965811965812,1.9735719517365227e-17,9.867859758682614e-17
mse,lstm32,234,0.07905692530289166,0.07618462731086398,0.3076923076923077,5.6581963958420774e-11,1.6974589187526232e-10
mse,lstm4,234,0.07905692530289166,0.07630855870682711,0.3162393162393162,5.105384843457101e-10,5.105384843457101e-10
mse,naive,234,0.07905692530289166,0.0955835924004899,0.9444444444444444,9.031330227256681e-34,7.225064181805345e-33
mae,egarch,234,0.22047231471184023,0.25392832878217514,0.8846153846153846,1.6420900079415356e-32,1.3136720063532284e-31
mae,ewma,234,0.22047231471184023,0.253625625202183,0.9273504273504274,4.89946236445435e-36,4.899462364454351e-35
mae,garch,234,0.22047231471184023,0.25327451480767194,0.9316239316239316,8.462852360846935e-36,7.616567124762242e-35
mae,gru32,234,0.22047231471184023,0.2152849343549501,0.29914529914529914,2.519071457484814e-15,1.5114428744908885e-14
mae,har,234,0.22047231471184023,0.22667149223503907,0.7564102564102564,1.1565778748193836e-13,4.626311499277534e-13
mae,har_pooled,234,0.22047231471184023,0.22498386374937868,0.7478632478632479,3.438649480599417e-13,7.689833229673399e-13
mae,har_x,234,0.22047231471184023,0.22536250298063787,0.7478632478632479,5.16112375563108e-14,2.58056187781554e-13
mae,lstm32,234,0.22047231471184023,0.21529378349961426,0.3034188034188034,2.5632777432244664e-13,7.689833229673399e-13
mae,lstm4,234,0.22047231471184023,0.21605674786448342,0.2905982905982906,2.6110836769957206e-12,2.6110836769957206e-12
mae,naive,234,0.22047231471184023,0.24282307227921743,0.9401709401709402,8.301083018624445e-30,5.810758113037111e-29
r2,egarch,234,0.34206697876033665,0.15215483725556123,0.8888888888888888,7.479419895575173e-33,5.235593926902621e-32
r2,ewma,234,0.34206697876033665,0.17601438245083406,0.9529914529914529,2.8311749775846575e-36,2.548057479826192e-35
r2,garch,234,0.34206697876033665,0.1496225414891444,0.9487179487179487,2.1638456492100358e-36,2.1638456492100358e-35
r2,gru32,234,0.34206697876033665,0.3542736622175842,0.3162393162393162,1.1403250667622766e-08,3.42097520028683e-08
r2,har,234,0.34206697876033665,0.30480213360226427,0.7777777777777778,3.698141647782956e-16,1.4792566591131824e-15
r2,har_pooled,234,0.34206697876033665,0.3174957533358562,0.7905982905982906,4.362157145629468e-17,2.6172942873776804e-16
r2,har_x,234,0.34206697876033665,0.3062461354127297,0.811965811965812,6.155190598645208e-17,3.077595299322604e-16
r2,lstm32,234,0.34206697876033665,0.3499617179111645,0.3076923076923077,7.430847193969435e-08,1.486169438793887e-07
r2,lstm4,234,0.34206697876033665,0.34845574214221964,0.3162393162393162,8.02522141385519e-07,8.02522141385519e-07
r2,naive,234,0.34206697876033665,0.18802435614595647,0.9444444444444444,9.922229383851128e-34,7.937783507080903e-33
qlike,egarch,234,-7.101687588016385,-7.048614858736386,0.7649572649572649,1.687252300452077e-22,1.0123513802712463e-21
qlike,ewma,234,-7.101687588016385,-7.0553607515882675,0.8632478632478633,6.205767949214879e-31,4.964614359371903e-30
qlike,garch,234,-7.101687588016385,-7.062519409796854,0.8418803418803419,2.8677600832401946e-29,2.0074320582681362e-28
qlike,gru32,234,-7.101687588016385,-7.10160772037961,0.5299145299145299,0.36630808316783947,0.628225394375002
qlike,har,234,-7.101687588016385,-7.086873401606544,0.7094017094017094,1.7277760941574436e-17,8.638880470787218e-17
qlike,har_pooled,234,-7.101687588016385,-7.082285624539974,0.8547008547008547,2.0206496502637937e-32,1.8185846852374142e-31
qlike,har_x,234,-7.101687588016385,-7.0871684260029255,0.6794871794871795,1.3300181071803277e-15,5.320072428721311e-15
qlike,lstm32,234,-7.101687588016385,-7.1063978830908,0.4829059829059829,0.1804275155321584,0.5412825465964752
qlike,lstm4,234,-7.101687588016385,-7.106648341951191,0.48717948717948717,0.314112697187501,0.628225394375002
qlike,naive,234,-7.101687588016385,-7.048482343750663,0.9487179487179487,5.605414804908208e-37,5.6054148049082085e-36
