stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600000,naive,,,,,,,,,,,,,
SH600000,har,0.17369182307277692,0.3919758025628819,0.3265480650606108,-0.5003818325896974,,,,,,,,,
SH600000,har_x,,,,,,,,,,,,,
SH600000,ewma,,,,,-1.0891795871744943,0.7997784879368056,True,,,,,,
SH600000,garch,,,,,-0.7217101786030717,0.8952892774974424,True,0.9999999999676554,0.011830105820064494,,,,
SH600000,egarch,,,,,-0.7066845815893613,0.9116627379296771,True,0.9481931043717653,0.012688037733714581,,,,
SH600009,naive,,,,,,,,,,,,,
SH600009,har,0.1104078796611825,0.36151516435775966,0.4432146321846153,-0.36379924354601195,,,,,,,,,
SH600009,har_x,,,,,,,,,,,,,
SH600009,ewma,,,,,-0.925767083380912,0.8163717361971939,True,,,,,,
SH600009,garch,,,,,-0.6075338057848322,0.9054389235944275,True,1.0,0.01974444777031418,,,,
SH600009,egarch,,,,,-0.5270065275267453,0.9278619377316917,True,0.9884658740788258,0.020091389975993294,,,,
SH600015,naive,,,,,,,,,,,,,
SH600015,har,0.15940387028826486,0.32806990698702565,0.3990855337823108,-0.529129016559556,,,,,,,,,
SH600015,har_x,,,,,,,,,,,,,
SH600015,ewma,,,,,-0.9743455144201694,0.8385545555601753,True,,,,,,
SH600015,garch,,,,,-0.5388762048110913,0.9484850111713334,True,0.993465772496712,0.01112864801669335,,,,
SH600015,egarch,,,,,-0.5299929039949528,0.9494310413996707,True,0.9906143079353268,0.011049582307629414,,,,
SH600068,naive,,,,,,,,,,,,,
SH600068,har,0.13363530514218855,0.35394588577626834,0.33315349519596943,-0.7133187234612316,,,,,,,,,
SH600068,har_x,,,,,,,,,,,,,
SH600068,ewma,,,,,-1.0719941985800265,0.7817305036934207,True,,,,,,
SH600068,garch,,,,,-0.4275739013408965,0.9651009147485123,True,0.9863791851640994,0.022655075990805643,,,,
SH600068,egarch,,,,,-0.5325365200474009,0.9362618836172609,True,0.9922105658485575,0.0224186065851797,,,,
SH600085,naive,,,,,,,,,,,,,
SH600085,har,0.1021143178138327,0.46989792251400303,0.32032231625141255,-0.4606954145059208,,,,,,,,,
SH600085,har_x,,,,,,,,,,,,,
SH600085,ewma,,,,,-1.23070487447583,0.7614131353691909,True,,,,,,
SH600085,garch,,,,,-0.7918896279976981,0.8850586619843934,True,1.0000000000256224,0.016204058113749042,,,,
SH600085,egarch,,,,,-0.7978820303972741,0.8811355287887065,True,0.9879304321579887,0.01631924542910919,,,,
SH600118,naive,,,,,,,,,,,,,
SH600118,har,0.05130053923186841,0.252587382312042,0.610627334796012,-0.36629973836317326,,,,,,,,,
SH600118,har_x,,,,,,,,,,,,,
SH600118,ewma,,,,,-0.790554406540017,0.8663980286461225,True,,,,,,
SH600118,garch,,,,,-0.29952089019064715,1.0044545526944322,True,0.9893851661316917,0.02012073915641361,,,,
SH600118,egarch,,,,,-0.3888405848834164,0.9834163235801069,True,0.9876222194974662,0.02042475897129703,,,,
SH600188,naive,,,,,,,,,,,,,
SH600188,har,0.10269258122716163,0.4551595844784472,0.2560423595734759,-0.6995474215015844,,,,,,,,,
SH600188,har_x,,,,,,,,,,,,,
