stock,model,n,mse,mae,r2,qlike,r2_offset22
SH600000,naive,417,0.19066672660871445,0.2823301938116474,-0.12437950650294227,-7.0917371618852485,-0.1114715753609632
SH600009,naive,417,0.18700432666137728,0.2745694496196707,-0.06529441962283866,-5.6488529753613586,-0.0528865682702393
SH600015,naive,417,0.18039714206524823,0.283918728180738,0.08533234761342068,-8.092974171428308,0.09612978129801064
SH600068,naive,417,0.229097475987428,0.3083427222900393,0.059291726311074155,-5.997151154713711,0.06723281436366757
SH600085,naive,417,0.25104108244940937,0.3311163127493725,-0.1028136612260282,-5.76046585271885,-0.07980093425653512
SH600118,naive,417,0.2070611937012547,0.27637195867073977,0.30755649636761684,-4.10986510929226,0.30539093173115384
SH600188,naive,417,0.21693331181778489,0.3055179100654467,-0.25815812914263025,-6.1965254816102915,-0.24699719465559977
SH600362,naive,417,0.23263496284171187,0.3182188117936916,-0.0414592079924021,-6.1166618449757015,-0.051550422112867755
SH600519,naive,417,0.18025821039450848,0.25983528756185903,-0.14851922222495828,-6.300179584035896,-0.15029264212323667
SH600585,naive,417,0.19767966535598935,0.258475518359807,-0.2627296042080651,-5.696405383449282,-0.26227768749346625
SH601225,naive,417,0.21410193876465985,0.2942793285618182,-0.25751754338470856,-4.966691142913239,-0.24850825921791042
SH601318,naive,417,0.16362063545831007,0.24396698962465813,0.08977061866415603,-6.7350703296914025,0.08803333295264593
SH601328,naive,417,0.16574082958551578,0.2826022743163332,0.22357674701812524,-8.34460631971621,0.2289164806354248
SH601601,naive,417,0.19208793760564577,0.270992735240494,-0.25630947864434916,-5.7033344762672264,-0.24811363641636497
SH601607,naive,417,0.2410886347359584,0.3274794943237105,0.08205336206526848,-4.684177270160941,0.08840840837878672
SH601628,naive,417,0.19529505643013909,0.2521181676056343,0.13257710343531637,-3.479584015246038,0.1382332182159156
SH601857,naive,417,0.17795514740792479,0.28296365102119275,-0.1940336111303873,-8.213359921651431,-0.17922298949587612
SH601939,naive,417,0.1819513336533258,0.28303587031235794,0.03447362078518856,-7.7997030800946066,0.019906608376722312
SH601988,naive,417,0.16682225568154324,0.2813126132462307,0.022455653947858423,-8.489325928342359,0.03389374687395441
SZ002008,naive,417,0.07557799093660877,0.22467794686966333,-0.31395973845757363,-6.461333074968393,-0.30729368118756106
SH600000,har,417,0.1436921966501924,0.2527291852436402,0.15263368689687917,-7.924997629973092,0.16237552522945164
SH600009,har,417,0.14104431505072937,0.24605726409959303,0.19652275203694503,-6.993163352991554,0.20468475573181988
SH600015,har,417,0.14156496073847546,0.257877282293509,0.2822231615397435,-8.614859612704413,0.288048036682616
SH600068,har,417,0.18451664343893026,0.29559276994115175,0.24234724818253184,-7.3905178695100355,0.25493584089300925
SH600085,har,417,0.18118090337834353,0.284055405478142,0.2040793743821736,-7.258717969056727,0.22387862186596885
SH600118,har,417,0.16657860652240852,0.2853469714060568,0.4429363036658772,-6.357646865372556,0.4364862569814284
SH600188,har,417,0.16928033629242387,0.2797585306186142,0.018217029806805285,-7.3957351048426645,0.030625580959554255
SH600362,har,417,0.1771211971786746,0.28558471487600917,0.20706458101106318,-7.2776962517005375,0.20189914377769203
SH600519,har,417,0.1268417602904601,0.22651313136470816,0.19182488522652086,-7.46847118477588,0.19105202544173772
SH600585,har,417,0.13766509192072263,0.22430324353741174,0.12062888855424647,-7.192900157148232,0.1217296202935505
SH601225,har,417,0.17263185153887325,0.2838269152680551,-0.013944960562639164,-7.230022664568645,0.00015679052872485943
SH601318,har,417,0.11974325601809567,0.2188594456412903,0.333862568500646,-7.813262418532102,0.33359117607517297
SH601328,har,417,0.13761109735580634,0.26736936922276716,0.35535223202033583,-8.843526314004658,0.35519222204090095
SH601601,har,417,0.13189668154024292,0.23852930172951975,0.13735837197165013,-7.254443600611113,0.13930935465522754
SH601607,har,417,0.18395287174553895,0.29908718276133806,0.29959817333491645,-6.965299505232147,0.30414590291009325
SH601628,har,417,0.1488848467518983,0.2366455666645512,0.33871277960218726,-6.718270836599065,0.34179531275851316
SH601857,har,417,0.1388111497710332,0.2524641746582315,0.06861262042433758,-8.664532179764558,0.08058751617568882
SH601939,har,417,0.13959044328973372,0.25084991080296715,0.2592620643313239,-8.336620696265165,0.24787642058561543
SH601988,har,417,0.1304396101805325,0.2521027880590227,0.23565052569102563,-8.924802085362552,0.24226220502124585
SZ002008,har,417,0.05614746345417796,0.19273254444683452,0.02384933125323163,-6.501238205270942,0.029282557225352446
SH600000,har_x,417,0.14185782380643697,0.25099792034702023,0.16345115499678964,-7.964479282620368,0.17270810781061863
SH600009,har_x,417,0.14063861747095183,0.24569640863108355,0.1988338609589012,-7.014378479807772,0.20652579501834412
SH600015,har_x,417,0.14009832981502374,0.2562137857733116,0.2896594204976928,-8.635867252641663,0.2954046841011353
SH600068,har_x,417,0.18212967594975477,0.298201815053222,0.2521484913276859,-7.478667984791009,0.2646133650877337
SH600085,har_x,417,0.1791473910305016,0.28063265101641,0.21301251462994097,-7.280952823871134,0.23242530270712614
SH600118,har_x,417,0.152105969266741,0.27027996983989183,0.4913349604541398,-6.447205215047518,0.4856944069513396
SH600188,har_x,417,0.16965264166529173,0.28064385310834833,0.01605775317256175,-7.429969037583258,0.02884733558932695
SH600362,har_x,417,0.17469179379157743,0.28449879228242303,0.21794052371767103,-7.342213712213388,0.2134255362351397
SH600519,har_x,417,0.12670723378439258,0.22610390280654402,0.19268202387101951,-7.481647628121541,0.19198167962918888
SH600585,har_x,417,0.13806583025207578,0.22462441138708228,0.11806906959851671,-7.200037246705722,0.11925864356046478
SH601225,har_x,417,0.17346382062941115,0.2861293915076771,-0.01883149140370355,-7.282320337095999,-0.00399555449218747
SH601318,har_x,417,0.11851426584518392,0.2165443660427327,0.3406994993170058,-7.831548222181311,0.34034860924852706
SH601328,har_x,417,0.13875944710112165,0.2717559785107219,0.34997271601906843,-8.876475988744174,0.3508519209033112
SH601601,har_x,417,0.1316940176508293,0.23776170683966255,0.1386838511684334,-7.267656646145623,0.14030336512716768
SH601607,har_x,417,0.18095412549360712,0.29685107533902866,0.31101592035146486,-7.059399771517608,0.315958212534178
SH601628,har_x,417,0.14717286204322963,0.23694197184652407,0.34631673416208697,-6.825722719011871,0.3500877474451438
SH601857,har_x,417,0.1373205323052085,0.25014681712931847,0.07861428309865615,-8.709324326032078,0.08992663800044987
SH601939,har_x,417,0.13952796772306145,0.25063403957688263,0.2595935914845868,-8.356302710458301,0.24909117307540962
SH601988,har_x,417,0.12866151180156737,0.250233331411124,0.2460698190280005,-8.954134303862448,0.2520011399868869
SZ002008,har_x,417,0.055868113655750604,0.1923777683557084,0.028705961914235356,-6.501620233575919,0.0351105986897543
SH600000,ewma,417,0.16031541887304196,0.27623409461197895,0.05460499184420986,-8.050046821207,0.06269006017777623
SH600009,ewma,417,0.13382055847759441,0.2399986730079902,0.2376738189853005,-7.1814319782154685,0.24298694449844704
SH600015,ewma,417,0.20067781210269672,0.32699482860941,-0.017496736260149914,-8.53744150204411,-0.014360385730574743
SH600068,ewma,417,0.23789017306342963,0.37033786573088645,0.023187605775546904,-7.566541359138917,0.02041719250350238
SH600085,ewma,417,0.18097850709866056,0.2756981212869649,0.20496849332652267,-7.531476774705057,0.20797347603738336
SH600118,ewma,417,0.12328979744739996,0.26120226161010435,0.5877005353800047,-6.678255663194006,0.5880458113739865
SH600188,ewma,417,0.24305448403056085,0.37000001378103825,-0.4096542958071745,-7.449262202901757,-0.36547333618347055
SH600362,ewma,417,0.201019921065634,0.3114211880034109,0.10007487599291842,-7.443036872392417,0.14930296787664232
SH600519,ewma,417,0.14261042163253898,0.23315335851626767,0.09135450653754573,-7.543325371143519,0.08957083237416508
SH600585,ewma,417,0.1347207662332539,0.22667366644383352,0.1394365246522825,-7.3171188778894924,0.14811543625407386
SH601225,ewma,417,0.18529948086780365,0.312049642224493,-0.08834767828737,-7.539996166875757,-0.05555517104786034
SH601318,ewma,417,0.1480955776752359,0.27925130603120396,0.1761372539085928,-7.90912060833673,0.18431662667099635
SH601328,ewma,417,0.18787960005188764,0.32862889647239396,0.11986629603567356,-8.854183273382686,0.11090357710542809
SH601601,ewma,417,0.16703517733186338,0.2774517090654901,-0.09245733576397108,-7.305961963397185,-0.08609756123993062
SH601607,ewma,417,0.19765994335566775,0.3289533135133039,0.2474084037332569,-7.319211162167026,0.2492182732506083
SH601628,ewma,417,0.17026571215904443,0.2764190652590992,0.24374748687261572,-6.9927033115587145,0.2454577757510752
SH601857,ewma,417,0.19766423651819479,0.3135179023399923,-0.32627656776979896,-8.77451760855436,-0.3311057791113863
SH601939,ewma,417,0.1779518158637869,0.30524204573320624,0.0556970977029031,-8.336383361899015,0.03803424365158392
SH601988,ewma,417,0.15716726668457554,0.29786977912363394,0.07903191750827043,-8.941758181049162,0.0796519069317494
SZ002008,ewma,417,0.05749755990776022,0.19532980351802068,0.0003772547788866154,-6.499698150552373,0.02485265094655753
SH600000,garch,417,0.16162364142818697,0.27308465239101964,0.046890281170183346,-8.063374558716106,0.05303753283107282
SH600009,garch,417,0.13881910975164016,0.25184240413115516,0.20919892285050778,-7.1692609529070195,0.21617244545078473
SH600015,garch,417,0.1914455668371685,0.3184773381547138,0.029313518085362533,-8.617755859774334,0.032803050433004466
SH600068,garch,417,0.2508288350434341,0.38232686484294737,-0.029940462626753872,-7.571771745299265,-0.027480367681784967
SH600085,garch,417,0.18712192511790796,0.28359826506130487,0.17798069813322603,-7.541689277670729,0.18246514637493483
SH600118,garch,417,0.11695380775507007,0.24804029555398838,0.6088890295788043,-6.697918477678007,0.6101909228351945
SH600188,garch,417,0.2507098655611379,0.3807899170546235,-0.45405356498199856,-7.445066278191067,-0.414159067537049
SH600362,garch,417,0.22407455203854695,0.33874802721836456,-0.003135997473010743,-7.441959812007555,0.030749202094926265
SH600519,garch,417,0.1420517811912385,0.23266874499559648,0.09491389661326877,-7.536965229876181,0.09172033374745503
SH600585,garch,417,0.13135001848473885,0.22001614934200645,0.16096804112213636,-7.320541683531024,0.16479415783465579
SH601225,garch,417,0.2383930987792772,0.36936057516590964,-0.4001905151653291,-7.486572826419253,-0.36676107271347025
SH601318,garch,417,0.14332721367592036,0.26704196937078595,0.2026638897508487,-7.9129987436442235,0.2052806818986751
SH601328,garch,417,0.18735498430669495,0.3259428531310313,0.1223238912128346,-8.874796090118172,0.11485346111987405
SH601601,garch,417,0.16422987086440646,0.2743693768573168,-0.07410983748011835,-7.305198257310682,-0.06893783044998236
SH601607,garch,417,0.19715882964071466,0.326212134381005,0.24931639765577407,-7.318211912888499,0.2510558113279837
SH601628,garch,417,0.16720477408887002,0.2736291088573802,0.257342955265773,-6.990531785492237,0.26051189191794766
SH601857,garch,417,0.19703725591109364,0.3013127592257484,-0.32206968795030355,-8.777840164719779,-0.3287690910128753
SH601939,garch,417,0.17730216693903922,0.3030986394444035,0.0591444655318607,-8.351188469655618,0.0435586797119879
SH601988,garch,417,0.16012626820454523,0.29725204468001776,0.0616927729559521,-8.95900405702347,0.06311682423404974
SZ002008,garch,417,0.059444255095269495,0.19838339747326608,-0.03346697775147711,-6.490230095912623,-0.00902415536563339
SH600000,egarch,417,0.16249160655431225,0.27489522026711666,0.041771809701497076,-8.08167233334734,0.0495833705084584
SH600009,egarch,417,0.13971704536939739,0.2502428226658183,0.2040837160536646,-7.177246197611415,0.21064101316131223
SH600015,egarch,417,0.1719341323229185,0.2918853149555917,0.12824234698769965,-8.620387736688004,0.13286972408433206
SH600068,egarch,417,0.21319395993746634,0.33914546117980443,0.12459392601651542,-7.579419084606705,0.12271906741384064
SH600085,egarch,417,0.17957043801477418,0.269807940817939,0.21115408576624972,-7.583343318817194,0.22141702375259376
SH600118,egarch,417,0.12319891331949681,0.25453323487669816,0.5880044654541285,-6.6826276222566205,0.5890353808590787
SH600188,egarch,417,0.23202575918623067,0.35741147134460105,-0.3456904919049575,-7.462895173454415,-0.2952811848543422
SH600362,egarch,417,0.19749426721350305,0.2989484992403954,0.11585850809895748,-7.479744206920403,0.16959056699959274
SH600519,egarch,417,0.13806926175042897,0.23233219478364323,0.1202886083706074,-7.549085563615541,0.12158495058555796
SH600585,egarch,417,0.1385257615143739,0.23106888235218334,0.11513114060233631,-7.310500474524749,0.12064750222933396
SH601225,egarch,417,0.1847036561174163,0.30834751269775224,-0.08484812998473412,-7.542731024226635,-0.04709887229598575
SH601318,egarch,417,0.14912669915105634,0.28120871995150154,0.1704010760702096,-7.912917069087129,0.18256773536053006
