universe,cell,variant,ret
mid_highmid,set1/2022,base,+6.04
mid_highmid,set1/2022,bp20,-17.19
mid_highmid,set1/2023,base,+9.94
mid_highmid,set1/2023,bp20,+17.88
mid_highmid,set1/2024,base,-8.35
mid_highmid,set1/2024,bp20,+10.91
mid_highmid,set2/2022,base,+48.14
mid_highmid,set2/2022,bp20,+48.06
mid_highmid,set2/2023,base,+14.52
mid_highmid,set2/2023,bp20,+20.36
mid_highmid,set2/2024,base,+7.81
mid_highmid,set2/2024,bp20,+11.31
mid_highmid,set3/2022,base,+36.78
mid_highmid,set3/2022,bp20,+25.81
mid_highmid,set3/2023,base,+2.31
mid_highmid,set3/2023,bp20,-6.99
mid_highmid,set3/2024,base,+7.98
mid_highmid,set3/2024,bp20,+20.60
mid_highmid,set4/2022,base,+8.83
mid_highmid,set4/2022,bp20,+7.46
mid_highmid,set4/2023,base,+5.43
mid_highmid,set4/2023,bp20,+15.31
mid_highmid,set4/2024,base,+6.00
mid_highmid,set4/2024,bp20,-2.21
original,orig/2022,base,-10.15
original,orig/2022,bp20,-0.94
original,orig/2023,base,-6.13
original,orig/2023,bp20,-4.18
