Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
7,10,836,0.124946,0.0250014,6,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.025001,0.025001,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
9,20,869,0.124946,0.0250014,6,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.025001,0.025001,10000000.000000,10000000.000000,0.025945,0.025945,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
11,30,877,0.124946,0.0250014,6,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.025001,0.025001,0.026961,0.026961,0.025945,0.025945,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
13,40,928,0.123056,0.0240859,6,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.025001,0.025001,0.026961,0.026961,0.025945,0.025945,0.024086,0.024086,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
15,50,935,0.123056,0.0240859,6,5,0,10000000.000000,10000000.000000,0.042211,0.042211,0.025001,0.025001,0.026961,0.026961,0.025945,0.025945,0.024086,0.024086,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
17,60,944,0.123056,0.0240859,6,5,0,0.027284,10000000.000000,0.042211,0.042211,0.025001,0.025001,0.026961,0.026961,0.025945,0.025945,0.024086,0.024086,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
19,70,1908,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.042211,10000000.000000,0.025001,0.025001,0.026961,0.026961,0.025945,0.025945,0.024086,0.024086,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
21,80,2015,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.042211,10000000.000000,0.025001,0.025001,0.026961,0.026961,0.025945,0.025945,0.024086,0.024086,0.033115,0.033115,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
23,90,2067,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.042211,10000000.000000,0.025001,0.025001,0.026961,0.026961,0.025945,0.025945,0.024086,0.024086,0.033115,0.033115,0.047817,0.047817,10000000.000000,10000000.000000,10000000.000000,10000000.000000
25,100,2110,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.042211,10000000.000000,0.025001,0.025001,0.026961,0.026961,0.025945,10000000.000000,0.024086,0.024086,0.033115,0.033115,0.047817,0.047817,0.042346,0.042346,10000000.000000,10000000.000000
27,110,2136,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.042211,10000000.000000,0.025001,0.025001,0.026961,0.026961,0.025945,10000000.000000,0.024086,10000000.000000,0.033115,0.033115,0.047817,0.047817,0.042346,0.042346,0.042755,0.042755
29,120,2904,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.031622,0.042211,0.025001,0.025001,0.026961,0.026961,0.025945,10000000.000000,0.024086,10000000.000000,0.033115,10000000.000000,0.047817,0.047817,0.042346,0.042346,0.042755,0.042755
31,130,3014,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.031622,0.042211,0.024381,0.024381,0.026961,0.026961,0.025945,10000000.000000,0.024086,10000000.000000,0.033115,10000000.000000,0.047817,10000000.000000,0.042346,0.042346,0.042755,0.042755
33,140,3108,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.031622,0.042211,0.024381,0.024381,0.025879,0.025879,0.025945,10000000.000000,0.024086,10000000.000000,0.033115,10000000.000000,0.047817,10000000.000000,0.042346,10000000.000000,0.042755,0.042755
35,150,3240,0.123056,0.0240859,6,5,0,0.027284,0.421420,0.031622,0.042211,0.024381,0.024381,0.025879,0.025879,0.025945,10000000.000000,0.024086,10000000.000000,0.033115,0.035054,0.047817,10000000.000000,0.042346,10000000.000000,0.042755,10000000.000000
37,160,3487,0.123056,0.0240859,6,5,0,0.027284,10000000.000000,0.031622,0.042211,0.024381,0.024381,0.025879,0.025879,0.024559,0.025945,0.024086,10000000.000000,0.033115,0.035054,0.047817,10000000.000000,0.042346,10000000.000000,0.042755,10000000.000000
39,170,3562,0.123056,0.0240859,6,5,0,0.027284,10000000.000000,0.031622,10000000.000000,0.024381,0.024381,0.025879,0.025879,0.024559,0.025945,0.024086,10000000.000000,0.033115,0.035054,0.033126,0.047817,0.042346,10000000.000000,0.042755,10000000.000000
41,180,3615,0.121796,0.0236192,7,9,0,0.027284,10000000.000000,0.031622,10000000.000000,0.024381,0.024381,0.025879,0.025879,0.024559,0.025945,0.023619,0.024086,0.033115,0.035054,0.033126,0.047817,0.042346,10000000.000000,0.042755,10000000.000000
43,190,3760,0.121796,0.0236192,7,9,0,0.027284,10000000.000000,0.031622,10000000.000000,0.024381,0.024381,0.025879,10000000.000000,0.024559,0.025945,0.023619,0.024086,0.033115,0.035054,0.033126,0.047817,0.033962,0.042346,0.042755,10000000.000000
45,200,4036,0.121224,0.0233557,6,5,1,0.027284,10000000.000000,0.031622,10000000.000000,0.024381,0.024381,0.025879,10000000.000000,0.024559,10000000.000000,0.023619,0.024086,0.033115,0.035054,0.033126,0.047817,0.033962,0.042346,0.023356,0.042755
47,210,4064,0.121224,0.0233557,6,5,1,0.027284,0.421420,0.031622,10000000.000000,0.024381,0.024381,0.025879,10000000.000000,0.024559,10000000.000000,0.023619,0.024086,0.033115,0.035054,0.033126,0.047817,0.033962,0.042346,0.023356,0.042755
