Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
7,10,581,0.131396,0.0274894,6,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.027489,0.027489,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
9,20,585,0.131396,0.0274894,6,5,0,0.031396,0.031396,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.027489,0.027489,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
11,30,601,0.124091,0.0244685,6,5,0,0.031396,0.031396,10000000.000000,10000000.000000,0.024468,0.024468,10000000.000000,10000000.000000,0.027489,0.027489,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
13,40,610,0.124091,0.0244685,6,5,0,0.031396,0.031396,10000000.000000,10000000.000000,0.024468,0.024468,10000000.000000,10000000.000000,0.027489,0.027489,0.036782,0.036782,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
15,50,619,0.124091,0.0244685,6,5,0,0.031396,0.031396,10000000.000000,10000000.000000,0.024468,0.024468,0.031206,0.031206,0.027489,0.027489,0.036782,0.036782,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
17,60,622,0.124091,0.0244685,6,5,0,0.031396,10000000.000000,0.029153,0.029153,0.024468,0.024468,0.031206,0.031206,0.027489,0.027489,0.036782,0.036782,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
19,70,1405,0.124091,0.0244685,6,5,0,0.031396,10000000.000000,0.029153,0.029153,0.024468,0.024468,0.031206,0.031206,0.027489,0.027489,0.036782,0.036782,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.028622,0.028622,10000000.000000,10000000.000000
21,80,1406,0.124091,0.0244685,6,5,0,0.031396,10000000.000000,0.029153,0.029153,0.024468,0.024468,0.031206,0.031206,0.027489,0.027489,0.036782,0.036782,10000000.000000,10000000.000000,0.051829,0.051829,0.028622,0.028622,10000000.000000,10000000.000000
23,90,1417,0.124091,0.0244685,6,5,0,0.031396,10000000.000000,0.029153,0.029153,0.024468,0.024468,0.031206,0.031206,0.027489,0.027489,0.036782,0.036782,0.032013,0.032013,0.051829,0.051829,0.028622,0.028622,10000000.000000,10000000.000000
25,100,1441,0.119933,0.0228873,6,5,0,0.031396,10000000.000000,0.022887,0.022887,0.024468,0.024468,0.031206,0.031206,0.027489,10000000.000000,0.036782,0.036782,0.032013,0.032013,0.051829,0.051829,0.028622,0.028622,10000000.000000,10000000.000000
