year,model,q,ret
2022,EXAMM,2,+35.54
2022,EXAMM,5,+30.02
2022,EXAMM,10,+25.79
2022,EXAMM,15,+14.43
2022,EXAMM,20,+15.52
2022,EXAMM,25,+0.01
2022,EXAMM,30,-10.82
2022,EXAMM,40,-4.64
2022,EXAMM,50,-10.29
2022,DLinear,2,+0.31
2022,DLinear,5,-7.54
2022,DLinear,10,-0.67
2022,DLinear,15,+18.96
2022,DLinear,20,+6.59
2022,DLinear,25,+0.52
2022,DLinear,30,+9.46
2022,DLinear,40,+5.48
2022,DLinear,50,+5.62
2022,Crossformer,2,+21.79
2022,Crossformer,5,+18.16
2022,Crossformer,10,+7.72
2022,Crossformer,15,-23.17
2022,Crossformer,20,-1.31
2022,Crossformer,25,+1.04
2022,Crossformer,30,-3.65
2022,Crossformer,40,-13.37
2022,Crossformer,50,-8.36
2022,Reversal,2,-11.07
2022,Reversal,5,+41.90
2022,Reversal,10,+39.58
2022,Reversal,15,+0.21
2022,Reversal,20,+2.78
2022,Reversal,25,-8.79
2022,Reversal,30,+6.09
2022,Reversal,40,-3.71
2022,Reversal,50,+7.05
2023,EXAMM,2,-3.39
2023,EXAMM,5,+7.58
2023,EXAMM,10,+11.86
2023,EXAMM,15,+11.02
2023,EXAMM,20,-2.59
2023,EXAMM,25,+8.47
2023,EXAMM,30,+20.47
2023,EXAMM,40,+6.85
2023,EXAMM,50,+14.67
2023,DLinear,2,-19.48
2023,DLinear,5,-13.06
2023,DLinear,10,-34.95
2023,DLinear,15,-22.45
2023,DLinear,20,-11.00
2023,DLinear,25,-18.79
2023,DLinear,30,-13.97
2023,DLinear,40,+9.67
2023,DLinear,50,+2.64
2023,Crossformer,2,-0.69
2023,Crossformer,5,+3.41
2023,Crossformer,10,+0.99
2023,Crossformer,15,+6.39
2023,Crossformer,20,-14.22
2023,Crossformer,25,+12.16
2023,Crossformer,30,+21.92
2023,Crossformer,40,+17.66
2023,Crossformer,50,+24.93
2023,Reversal,2,-17.91
2023,Reversal,5,-18.74
2023,Reversal,10,-21.13
2023,Reversal,15,+8.51
2023,Reversal,20,+21.74
2023,Reversal,25,+16.10
2023,Reversal,30,+15.67
2023,Reversal,40,+10.55
2023,Reversal,50,+15.05
