cohort,trade_year,strategy,n_long,n_short,tc,strategy_pct,bh_pct,sp_pct
cohort_2020_aligned,2022,daily_long_short_return,3,3,withTC,-42.69,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,3,3,withTC,+46.29,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,3,3,noTC,-39.11,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,3,3,noTC,+46.84,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,5,5,withTC,-25.85,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,5,5,withTC,+41.10,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,5,5,noTC,-21.73,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,5,5,noTC,+41.74,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,10,10,withTC,-18.78,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,10,10,withTC,+33.02,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,10,10,noTC,-15.20,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,10,10,noTC,+33.90,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,15,15,withTC,-20.15,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,15,15,withTC,+23.96,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,15,15,noTC,-17.21,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,15,15,noTC,+24.98,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,20,20,withTC,-9.33,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,20,20,withTC,+14.41,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,20,20,noTC,-6.55,-13.99,-19.75
cohort_2021_aligned,2023,daily_long_short_return,20,20,noTC,+15.25,+7.91,+25.08
cohort_2020_aligned,2022,daily_hybrid_long_short_return,10,10,withTC,+14.18,-13.99,-19.75
cohort_2021_aligned,2023,daily_hybrid_long_short_return,10,10,withTC,+31.61,+7.91,+25.08
cohort_2020_aligned,2022,daily_hybrid_long_short_return,10,10,noTC,+14.40,-13.99,-19.75
cohort_2021_aligned,2023,daily_hybrid_long_short_return,10,10,noTC,+31.99,+7.91,+25.08
