cohort,year,strategy,tc,strategy_pct,bh_pct,sp_pct
cohort_2020_aligned,2022,daily_long_short_return,withTC,-18.78,-13.99,-19.75
cohort_2020_aligned,2023,daily_long_short_return,withTC,+32.87,+7.91,+25.08
cohort_2020_aligned,FULL,daily_long_short_return,withTC,+7.15,-8.70,-0.28
cohort_2021_aligned,2023,daily_long_short_return,withTC,+33.02,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_short_return,noTC,-15.20,-13.99,-19.75
cohort_2020_aligned,2023,daily_long_short_return,noTC,+35.81,+7.91,+25.08
cohort_2020_aligned,FULL,daily_long_short_return,noTC,+14.36,-8.70,-0.28
cohort_2021_aligned,2023,daily_long_short_return,noTC,+33.90,+7.91,+25.08
cohort_2020_aligned,2022,daily_hybrid_long_short_return,withTC,+14.18,-13.99,-19.75
cohort_2020_aligned,2023,daily_hybrid_long_short_return,withTC,-0.83,+7.91,+25.08
cohort_2020_aligned,FULL,daily_hybrid_long_short_return,withTC,+10.40,-8.70,-0.28
cohort_2021_aligned,2023,daily_hybrid_long_short_return,withTC,+31.61,+7.91,+25.08
cohort_2020_aligned,2022,daily_hybrid_long_short_return,noTC,+14.40,-13.99,-19.75
cohort_2020_aligned,2023,daily_hybrid_long_short_return,noTC,-0.48,+7.91,+25.08
cohort_2020_aligned,FULL,daily_hybrid_long_short_return,noTC,+11.01,-8.70,-0.28
cohort_2021_aligned,2023,daily_hybrid_long_short_return,noTC,+31.99,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_return,withTC,-39.35,-13.99,-19.75
cohort_2020_aligned,2023,daily_long_return,withTC,-22.05,+7.91,+25.08
cohort_2020_aligned,FULL,daily_long_return,withTC,-38.28,-8.70,-0.28
cohort_2021_aligned,2023,daily_long_return,withTC,+31.05,+7.91,+25.08
cohort_2020_aligned,2022,daily_long_return,noTC,-36.69,-13.99,-19.75
cohort_2020_aligned,2023,daily_long_return,noTC,-19.51,+7.91,+25.08
cohort_2020_aligned,FULL,daily_long_return,noTC,-33.48,-8.70,-0.28
cohort_2021_aligned,2023,daily_long_return,noTC,+32.03,+7.91,+25.08
