cohort,year,arm,strategy_pct,bh_pct,sp_pct
cohort_2020_aligned,2022,run_1,-27.26,-13.99,-19.75
cohort_2020_aligned,2022,run_10,-18.14,-13.99,-19.75
cohort_2020_aligned,2022,run_2,-6.75,-13.99,-19.75
cohort_2020_aligned,2022,run_3,-23.94,-13.99,-19.75
cohort_2020_aligned,2022,run_4,-20.65,-13.99,-19.75
cohort_2020_aligned,2022,run_5,-21.48,-13.99,-19.75
cohort_2020_aligned,2022,run_6,-23.10,-13.99,-19.75
cohort_2020_aligned,2022,run_7,-23.32,-13.99,-19.75
cohort_2020_aligned,2022,run_8,-19.44,-13.99,-19.75
cohort_2020_aligned,2022,run_9,-16.62,-13.99,-19.75
cohort_2020_aligned,2022,ENSEMBLE,-18.78,-13.99,-19.75
cohort_2020_aligned,2023,run_1,+18.60,+7.91,+25.08
cohort_2020_aligned,2023,run_10,+37.92,+7.91,+25.08
cohort_2020_aligned,2023,run_2,+7.37,+7.91,+25.08
cohort_2020_aligned,2023,run_3,+36.92,+7.91,+25.08
cohort_2020_aligned,2023,run_4,+22.06,+7.91,+25.08
cohort_2020_aligned,2023,run_5,+23.68,+7.91,+25.08
cohort_2020_aligned,2023,run_6,+29.59,+7.91,+25.08
cohort_2020_aligned,2023,run_7,+28.60,+7.91,+25.08
cohort_2020_aligned,2023,run_8,+18.44,+7.91,+25.08
cohort_2020_aligned,2023,run_9,+31.38,+7.91,+25.08
cohort_2020_aligned,2023,ENSEMBLE,+32.87,+7.91,+25.08
cohort_2021_aligned,2023,run_1,-0.58,+7.91,+25.08
cohort_2021_aligned,2023,run_10,+25.18,+7.91,+25.08
cohort_2021_aligned,2023,run_2,+21.50,+7.91,+25.08
cohort_2021_aligned,2023,run_3,+4.05,+7.91,+25.08
cohort_2021_aligned,2023,run_4,+22.41,+7.91,+25.08
cohort_2021_aligned,2023,run_5,+5.23,+7.91,+25.08
cohort_2021_aligned,2023,run_6,-4.53,+7.91,+25.08
cohort_2021_aligned,2023,run_7,+14.41,+7.91,+25.08
cohort_2021_aligned,2023,run_8,-14.77,+7.91,+25.08
cohort_2021_aligned,2023,run_9,+18.59,+7.91,+25.08
cohort_2021_aligned,2023,ENSEMBLE,+33.02,+7.91,+25.08
